type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	skewProb	colorDiffMin	colorDiffMax	condition	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	108	1520719278244	0	0	1	0	0	1	0	9	0	14.75	70.25	COLORDIFFS	326	65	50	133	84	50	30	44	50	64	1	50	260	9	50	220	59	50	234	0	50	115	85	50	229	94	50	220	93	50	277	22	50	276	73	50	245	68	50	98	89	50	125	88	50	79	65	50	18	68	50	204	32	50	326	65	50	133	84	50	30	44	50	64	1	50	260	9	50	220	59	50	234	0	50	115	85	50	229	94	50	220	93	50	277	22	50	276	73	50	245	68	50	98	89	50	125	88	50	79	65	50	18	68	50	204	32	50
StateGrid	108	1520719278245	1	1	1	0	0	0	1	9	0	12.5	57.5	COLORDIFFS	154	52	50	6	25	50	227	22	50	64	46	50	184	11	50	47	0	50	240	96	50	30	41	50	322	99	50	62	54	50	233	6	50	312	87	50	180	64	50	215	52	50	235	87	50	215	71	50	258	86	50	350	33	50	62	54	50	233	6	50	312	87	50	180	64	50	215	52	50	235	87	50	215	71	50	258	86	50	350	33	50	154	52	50	6	25	50	227	22	50	64	46	50	184	11	50	47	0	50	240	96	50	30	41	50	322	99	50
StateGrid	108	1520719278245	2	1	1	0	0	0	1	9	0	16.25	78.75	COLORDIFFS	53	80	50	285	80	50	170	96	50	35	97	50	288	1	50	171	67	50	276	39	50	151	69	50	58	85	50	165	94	50	227	89	50	117	84	50	161	87	50	38	96	50	326	52	50	142	32	50	67	18	50	153	4	50	165	94	50	227	89	50	117	84	50	161	87	50	38	96	50	326	52	50	142	32	50	67	18	50	153	4	50	53	80	50	285	80	50	170	96	50	35	97	50	288	1	50	171	67	50	276	39	50	151	69	50	58	85	50
StateGrid	108	1520719278245	3	1	0	1	1	0	1	9	0	14	66	COLORDIFFS	117	29	50	313	21	50	285	93	50	90	9	50	42	10	50	307	9	50	312	96	50	326	84	50	3	46	50	241	18	50	238	71	50	261	85	50	100	41	50	279	80	50	96	24	50	314	25	50	259	82	50	66	80	50	117	29	50	313	21	50	285	93	50	90	9	50	42	10	50	307	9	50	312	96	50	326	84	50	3	46	50	241	18	50	238	71	50	261	85	50	100	41	50	279	80	50	96	24	50	314	25	50	259	82	50	66	80	50
StateGrid	108	1520719278245	4	0	1	0	1	0	1	9	0	8.75	36.25	COLORDIFFS	277	33	50	27	9	50	12	13	50	116	60	50	344	42	50	165	93	50	142	38	50	68	10	50	65	69	50	357	45	50	346	88	50	160	20	50	167	50	50	19	82	50	66	33	50	150	10	50	151	98	50	28	45	50	357	45	50	346	88	50	160	20	50	167	50	50	19	82	50	66	33	50	150	10	50	151	98	50	28	45	50	277	33	50	27	9	50	12	13	50	116	60	50	344	42	50	165	93	50	142	38	50	68	10	50	65	69	50
StateGrid	108	1520719278245	5	0	1	0	1	0	1	9	0	17	83	COLORDIFFS	55	79	50	92	25	50	307	58	50	17	13	50	21	12	50	28	66	50	236	83	50	344	65	50	64	26	50	14	21	50	314	16	50	52	23	50	354	78	50	57	17	50	304	59	50	68	4	50	84	58	50	1	9	50	14	21	50	314	16	50	52	23	50	354	78	50	57	17	50	304	59	50	68	4	50	84	58	50	1	9	50	55	79	50	92	25	50	307	58	50	17	13	50	21	12	50	28	66	50	236	83	50	344	65	50	64	26	50
StateGrid	108	1520719278245	6	0	1	0	1	0	1	9	0	5	15	COLORDIFFS	14	7	50	315	40	50	41	29	50	346	45	50	127	28	50	62	17	50	86	70	50	127	64	50	257	56	50	263	1	50	326	68	50	31	33	50	345	72	50	146	63	50	80	4	50	68	98	50	125	88	50	248	97	50	263	1	50	326	68	50	31	33	50	345	72	50	146	63	50	80	4	50	68	98	50	125	88	50	248	97	50	14	7	50	315	40	50	41	29	50	346	45	50	127	28	50	62	17	50	86	70	50	127	64	50	257	56	50
StateGrid	108	1520719278245	7	0	1	0	0	1	0	9	0	11.75	53.25	COLORDIFFS	241	47	50	347	15	50	35	6	50	136	31	50	7	30	50	116	9	50	212	4	50	23	67	50	304	35	50	138	19	50	326	71	50	276	41	50	215	9	50	323	53	50	213	98	50	319	58	50	313	14	50	16	96	50	241	47	50	347	15	50	35	6	50	136	31	50	7	30	50	116	9	50	212	4	50	23	67	50	304	35	50	138	19	50	326	71	50	276	41	50	215	9	50	323	53	50	213	98	50	319	58	50	313	14	50	16	96	50
StateGrid	108	1520719278245	8	0	0	1	0	0	1	9	0	8	32	COLORDIFFS	313	51	50	5	27	50	52	1	50	338	53	50	241	60	50	86	74	50	98	69	50	65	59	50	61	48	50	201	18	50	328	26	50	167	17	50	321	42	50	273	48	50	72	96	50	175	91	50	38	40	50	37	6	50	313	51	50	5	27	50	52	1	50	338	53	50	241	60	50	86	74	50	98	69	50	65	59	50	61	48	50	201	18	50	328	26	50	167	17	50	321	42	50	273	48	50	72	96	50	175	91	50	38	40	50	37	6	50
StateGrid	108	1520719278245	9	0	1	0	1	0	1	9	0	17.75	87.25	COLORDIFFS	332	0	50	98	43	50	243	84	50	280	50	50	7	62	50	133	74	50	35	73	50	175	80	50	147	24	50	173	40	50	211	4	50	165	43	50	206	25	50	193	95	50	218	3	50	22	97	50	12	21	50	129	68	50	173	40	50	211	4	50	165	43	50	206	25	50	193	95	50	218	3	50	22	97	50	12	21	50	129	68	50	332	0	50	98	43	50	243	84	50	280	50	50	7	62	50	133	74	50	35	73	50	175	80	50	147	24	50
