eventType	gameid	time	roundNum	sender	contents
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196494747	1	speaker	This item has a brown triangle in it
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196512322	2	speaker	This has a blue hexagon
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196527039	3	speaker	This has a purple hexagon
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196547543	4	speaker	This one has the pink triange
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196573591	5	speaker	This one has the dull red pentagon
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196601538	6	speaker	This triangle is brighter green
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196612969	7	speaker	This item is a green square
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196629261	8	speaker	There is a blue square in this shape
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196653960	9	speaker	There is a pink hexagon in this one
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196670397	10	speaker	This one has the orange pentagon
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196686661	11	speaker	Purple square
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196705983	12	speaker	There is a red square in this one
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196720451	13	speaker	There is a purple hexagon
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196734555	14	speaker	This one has a red square
utterance	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196777380	15	speaker	This one has both triangles touching each other 
