type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	723	1518208669705	0	1	0	1	0	1	0	4	217	51	50	174	82	50	347	86	50	308	69	50	148	17	50	214	29	50	296	41	50	169	64	50	148	17	50	214	29	50	296	41	50	169	64	50	217	51	50	174	82	50	347	86	50	308	69	50
StateGrid	723	1518208669705	1	1	1	0	1	1	0	4	54	32	50	30	15	50	206	13	50	183	27	50	246	34	50	277	88	50	154	53	50	65	13	50	54	32	50	30	15	50	206	13	50	183	27	50	246	34	50	277	88	50	154	53	50	65	13	50
StateGrid	723	1518208669705	2	0	1	0	0	1	0	3	182	80	50	347	22	50	116	15	50	115	19	50	178	18	50	269	95	50	120	99	50	115	19	50	182	80	50	347	22	50	116	15	50	115	19	50	178	18	50	269	95	50	120	99	50	115	19	50
StateGrid	723	1518208669705	3	0	1	0	1	0	1	3	130	73	50	185	11	50	187	15	50	174	65	50	131	84	50	185	11	50	105	38	50	213	2	50	131	84	50	185	11	50	105	38	50	213	2	50	130	73	50	185	11	50	187	15	50	174	65	50
StateGrid	723	1518208669705	4	0	0	1	0	0	1	2	178	24	50	120	77	50	41	55	50	312	61	50	345	78	50	115	51	50	41	55	50	312	61	50	178	24	50	120	77	50	41	55	50	312	61	50	345	78	50	115	51	50	41	55	50	312	61	50
StateGrid	723	1518208669706	5	1	1	0	1	1	0	4	280	50	50	35	82	50	28	8	50	346	83	50	1	19	50	134	50	50	40	7	50	199	39	50	280	50	50	35	82	50	28	8	50	346	83	50	1	19	50	134	50	50	40	7	50	199	39	50
StateGrid	723	1518208669706	6	0	0	1	1	1	0	1	18	68	50	67	84	50	173	9	50	339	8	50	18	68	50	38	61	50	173	9	50	339	8	50	18	68	50	38	61	50	173	9	50	339	8	50	18	68	50	67	84	50	173	9	50	339	8	50
StateGrid	723	1518208669706	7	1	1	0	1	1	0	3	90	34	50	331	82	50	317	92	50	112	13	50	209	59	50	230	41	50	317	92	50	301	1	50	90	34	50	331	82	50	317	92	50	112	13	50	209	59	50	230	41	50	317	92	50	301	1	50
StateGrid	723	1518208669706	8	1	1	0	0	0	1	3	87	6	50	58	87	50	277	49	50	270	19	50	87	6	50	66	91	50	102	52	50	60	72	50	87	6	50	66	91	50	102	52	50	60	72	50	87	6	50	58	87	50	277	49	50	270	19	50
StateGrid	723	1518208669706	9	1	1	0	0	0	1	1	294	15	50	316	80	50	184	46	50	49	61	50	245	23	50	316	80	50	184	46	50	49	61	50	245	23	50	316	80	50	184	46	50	49	61	50	294	15	50	316	80	50	184	46	50	49	61	50
StateGrid	723	1518208669707	10	0	1	0	1	0	1	4	91	77	50	101	88	50	101	20	50	202	64	50	230	12	50	172	47	50	248	73	50	121	24	50	230	12	50	172	47	50	248	73	50	121	24	50	91	77	50	101	88	50	101	20	50	202	64	50
StateGrid	723	1518208669707	11	1	0	1	1	0	1	1	135	94	50	245	74	50	11	5	50	132	88	50	135	94	50	245	74	50	139	16	50	132	88	50	135	94	50	245	74	50	11	5	50	132	88	50	135	94	50	245	74	50	139	16	50	132	88	50
StateGrid	723	1518208669707	12	0	0	1	1	1	0	2	267	11	50	23	60	50	271	34	50	122	98	50	267	11	50	330	32	50	271	34	50	193	72	50	267	11	50	330	32	50	271	34	50	193	72	50	267	11	50	23	60	50	271	34	50	122	98	50
StateGrid	723	1518208669707	13	1	0	1	1	0	1	1	168	78	50	43	99	50	102	2	50	75	46	50	168	78	50	43	99	50	10	38	50	75	46	50	168	78	50	43	99	50	102	2	50	75	46	50	168	78	50	43	99	50	10	38	50	75	46	50
StateGrid	723	1518208669707	14	1	1	0	0	0	1	1	273	76	50	146	14	50	145	78	50	357	51	50	273	76	50	136	70	50	145	78	50	357	51	50	273	76	50	136	70	50	145	78	50	357	51	50	273	76	50	146	14	50	145	78	50	357	51	50
StateGrid	723	1518208669707	15	0	0	1	0	0	1	2	151	62	50	183	56	50	200	4	50	313	26	50	132	83	50	173	74	50	200	4	50	313	26	50	151	62	50	183	56	50	200	4	50	313	26	50	132	83	50	173	74	50	200	4	50	313	26	50
StateGrid	723	1518208669707	16	1	0	1	1	0	1	4	96	57	50	44	98	50	132	48	50	234	76	50	44	4	50	336	95	50	70	84	50	317	74	50	96	57	50	44	98	50	132	48	50	234	76	50	44	4	50	336	95	50	70	84	50	317	74	50
