type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	430	1518208668542	0	0	1	0	1	0	1	2	66	30	50	58	40	50	131	96	50	257	14	50	66	30	50	257	6	50	323	47	50	257	14	50	66	30	50	257	6	50	323	47	50	257	14	50	66	30	50	58	40	50	131	96	50	257	14	50
StateGrid	430	1518208668542	1	1	1	0	0	0	1	1	287	5	50	168	2	50	328	44	50	201	3	50	287	5	50	237	72	50	328	44	50	201	3	50	287	5	50	237	72	50	328	44	50	201	3	50	287	5	50	168	2	50	328	44	50	201	3	50
StateGrid	430	1518208668545	2	0	0	1	0	0	1	2	27	82	50	172	86	50	311	65	50	241	96	50	129	21	50	172	86	50	98	85	50	241	96	50	27	82	50	172	86	50	311	65	50	241	96	50	129	21	50	172	86	50	98	85	50	241	96	50
StateGrid	430	1518208668545	3	1	0	1	0	1	0	2	259	54	50	29	85	50	300	12	50	309	59	50	62	63	50	222	19	50	300	12	50	309	59	50	62	63	50	222	19	50	300	12	50	309	59	50	259	54	50	29	85	50	300	12	50	309	59	50
StateGrid	430	1518208668545	4	1	0	1	1	0	1	1	274	20	50	240	70	50	154	35	50	314	31	50	274	20	50	240	70	50	347	70	50	314	31	50	274	20	50	240	70	50	154	35	50	314	31	50	274	20	50	240	70	50	347	70	50	314	31	50
StateGrid	430	1518208668545	5	0	0	1	1	1	0	3	100	64	50	257	32	50	33	52	50	87	38	50	204	14	50	257	32	50	246	5	50	307	4	50	204	14	50	257	32	50	246	5	50	307	4	50	100	64	50	257	32	50	33	52	50	87	38	50
StateGrid	430	1518208668545	6	1	1	0	1	1	0	4	37	25	50	159	70	50	357	99	50	133	17	50	255	42	50	59	6	50	325	89	50	316	99	50	37	25	50	159	70	50	357	99	50	133	17	50	255	42	50	59	6	50	325	89	50	316	99	50
StateGrid	430	1518208668545	7	1	0	1	0	1	0	3	220	72	50	356	38	50	23	61	50	78	59	50	67	24	50	282	39	50	23	61	50	34	50	50	67	24	50	282	39	50	23	61	50	34	50	50	220	72	50	356	38	50	23	61	50	78	59	50
StateGrid	430	1518208668545	8	0	0	1	0	0	1	3	48	27	50	353	83	50	194	18	50	90	75	50	237	87	50	122	70	50	194	18	50	66	32	50	48	27	50	353	83	50	194	18	50	90	75	50	237	87	50	122	70	50	194	18	50	66	32	50
StateGrid	430	1518208668545	9	1	0	1	1	0	1	4	61	66	50	176	14	50	243	17	50	329	3	50	275	97	50	221	77	50	244	45	50	235	7	50	61	66	50	176	14	50	243	17	50	329	3	50	275	97	50	221	77	50	244	45	50	235	7	50
