type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	33	1518208666784	0	0	1	0	0	1	0	1	296	98	50	201	98	50	258	67	50	282	32	50	296	98	50	201	98	50	258	67	50	145	38	50	296	98	50	201	98	50	258	67	50	282	32	50	296	98	50	201	98	50	258	67	50	145	38	50
StateGrid	33	1518208666784	1	1	1	0	0	0	1	3	115	21	50	302	53	50	45	15	50	105	97	50	283	40	50	309	10	50	45	15	50	281	23	50	283	40	50	309	10	50	45	15	50	281	23	50	115	21	50	302	53	50	45	15	50	105	97	50
StateGrid	33	1518208666784	2	1	0	1	1	0	1	2	108	42	50	203	62	50	99	0	50	303	15	50	108	42	50	135	52	50	99	0	50	269	66	50	108	42	50	203	62	50	99	0	50	303	15	50	108	42	50	135	52	50	99	0	50	269	66	50
StateGrid	33	1518208666784	3	0	1	0	1	0	1	3	218	23	50	254	13	50	28	27	50	2	1	50	241	67	50	254	13	50	305	40	50	196	43	50	241	67	50	254	13	50	305	40	50	196	43	50	218	23	50	254	13	50	28	27	50	2	1	50
StateGrid	33	1518208666784	4	1	0	1	1	0	1	1	2	83	50	18	15	50	330	4	50	247	69	50	2	83	50	18	15	50	159	32	50	247	69	50	2	83	50	18	15	50	330	4	50	247	69	50	2	83	50	18	15	50	159	32	50	247	69	50
StateGrid	33	1518208666784	5	0	0	1	1	1	0	1	356	88	50	198	61	50	31	47	50	140	17	50	356	88	50	198	61	50	31	47	50	188	65	50	356	88	50	198	61	50	31	47	50	188	65	50	356	88	50	198	61	50	31	47	50	140	17	50
StateGrid	33	1518208666784	6	0	0	1	1	1	0	2	55	60	50	29	8	50	176	73	50	21	40	50	121	69	50	29	8	50	227	25	50	21	40	50	121	69	50	29	8	50	227	25	50	21	40	50	55	60	50	29	8	50	176	73	50	21	40	50
StateGrid	33	1518208666784	7	0	1	0	0	1	0	2	329	40	50	40	9	50	335	80	50	259	81	50	61	53	50	78	85	50	335	80	50	259	81	50	329	40	50	40	9	50	335	80	50	259	81	50	61	53	50	78	85	50	335	80	50	259	81	50
StateGrid	33	1518208666789	8	1	1	0	1	1	0	3	285	86	50	102	34	50	280	97	50	70	52	50	57	38	50	102	34	50	14	18	50	302	59	50	285	86	50	102	34	50	280	97	50	70	52	50	57	38	50	102	34	50	14	18	50	302	59	50
StateGrid	33	1518208666789	9	1	0	1	0	1	0	4	281	4	50	221	59	50	117	12	50	51	92	50	326	55	50	100	83	50	147	33	50	293	80	50	326	55	50	100	83	50	147	33	50	293	80	50	281	4	50	221	59	50	117	12	50	51	92	50
