type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	224	1518208667714	0	1	0	1	0	1	0	3	13	38	50	100	14	50	177	15	50	41	47	50	350	96	50	32	2	50	177	15	50	353	88	50	350	96	50	32	2	50	177	15	50	353	88	50	13	38	50	100	14	50	177	15	50	41	47	50
StateGrid	224	1518208667714	1	0	0	1	0	0	1	1	190	39	50	181	22	50	173	8	50	83	82	50	173	14	50	181	22	50	173	8	50	83	82	50	190	39	50	181	22	50	173	8	50	83	82	50	173	14	50	181	22	50	173	8	50	83	82	50
StateGrid	224	1518208667714	2	0	0	1	1	1	0	4	255	20	50	106	80	50	153	83	50	202	60	50	347	45	50	91	26	50	137	61	50	205	32	50	347	45	50	91	26	50	137	61	50	205	32	50	255	20	50	106	80	50	153	83	50	202	60	50
StateGrid	224	1518208667714	3	0	0	1	1	1	0	3	223	6	50	62	78	50	47	27	50	109	31	50	186	28	50	239	46	50	180	87	50	109	31	50	186	28	50	239	46	50	180	87	50	109	31	50	223	6	50	62	78	50	47	27	50	109	31	50
StateGrid	224	1518208667714	4	0	1	0	1	0	1	1	229	99	50	232	97	50	321	98	50	231	29	50	229	99	50	127	21	50	321	98	50	231	29	50	229	99	50	127	21	50	321	98	50	231	29	50	229	99	50	232	97	50	321	98	50	231	29	50
StateGrid	224	1518208667715	5	0	1	0	1	0	1	4	185	95	50	357	49	50	59	72	50	231	14	50	187	55	50	24	38	50	49	96	50	134	30	50	187	55	50	24	38	50	49	96	50	134	30	50	185	95	50	357	49	50	59	72	50	231	14	50
StateGrid	224	1518208667715	6	1	0	1	0	1	0	2	320	16	50	79	58	50	180	20	50	189	12	50	320	16	50	202	7	50	180	20	50	329	63	50	320	16	50	202	7	50	180	20	50	329	63	50	320	16	50	79	58	50	180	20	50	189	12	50
StateGrid	224	1518208667715	7	1	1	0	1	1	0	4	191	5	50	134	3	50	8	58	50	341	9	50	339	83	50	271	60	50	170	26	50	90	64	50	191	5	50	134	3	50	8	58	50	341	9	50	339	83	50	271	60	50	170	26	50	90	64	50
StateGrid	224	1518208667716	8	1	1	0	1	1	0	2	215	4	50	176	64	50	14	16	50	150	8	50	101	71	50	176	64	50	14	16	50	306	57	50	215	4	50	176	64	50	14	16	50	150	8	50	101	71	50	176	64	50	14	16	50	306	57	50
StateGrid	224	1518208667716	9	1	1	0	1	1	0	3	41	59	50	145	51	50	163	0	50	13	15	50	160	79	50	177	49	50	126	7	50	13	15	50	41	59	50	145	51	50	163	0	50	13	15	50	160	79	50	177	49	50	126	7	50	13	15	50
StateGrid	224	1518208667716	10	0	1	0	1	0	1	2	126	75	50	285	94	50	192	55	50	272	72	50	126	75	50	115	70	50	192	55	50	303	93	50	126	75	50	115	70	50	192	55	50	303	93	50	126	75	50	285	94	50	192	55	50	272	72	50
StateGrid	224	1518208667716	11	0	1	0	0	1	0	2	254	16	50	351	16	50	193	11	50	299	87	50	254	16	50	351	16	50	155	61	50	49	69	50	254	16	50	351	16	50	193	11	50	299	87	50	254	16	50	351	16	50	155	61	50	49	69	50
StateGrid	224	1518208667716	12	0	1	0	1	0	1	1	77	15	50	13	55	50	189	24	50	354	44	50	77	15	50	13	55	50	321	53	50	354	44	50	77	15	50	13	55	50	321	53	50	354	44	50	77	15	50	13	55	50	189	24	50	354	44	50
StateGrid	224	1518208667717	13	0	1	0	1	0	1	4	357	46	50	296	97	50	257	27	50	92	26	50	4	76	50	27	58	50	175	57	50	149	33	50	4	76	50	27	58	50	175	57	50	149	33	50	357	46	50	296	97	50	257	27	50	92	26	50
StateGrid	224	1518208667717	14	0	0	1	0	0	1	3	49	26	50	342	57	50	332	11	50	331	13	50	129	13	50	342	57	50	188	58	50	5	60	50	49	26	50	342	57	50	332	11	50	331	13	50	129	13	50	342	57	50	188	58	50	5	60	50
StateGrid	224	1518208667717	15	1	1	0	1	1	0	3	54	85	50	216	31	50	194	0	50	316	97	50	60	0	50	222	52	50	341	65	50	316	97	50	54	85	50	216	31	50	194	0	50	316	97	50	60	0	50	222	52	50	341	65	50	316	97	50
StateGrid	224	1518208667717	16	0	1	0	1	0	1	1	159	43	50	88	76	50	92	98	50	217	0	50	23	18	50	88	76	50	92	98	50	217	0	50	23	18	50	88	76	50	92	98	50	217	0	50	159	43	50	88	76	50	92	98	50	217	0	50
StateGrid	224	1518208667718	17	1	0	1	0	1	0	2	73	34	50	55	95	50	20	90	50	37	38	50	226	11	50	234	41	50	20	90	50	37	38	50	226	11	50	234	41	50	20	90	50	37	38	50	73	34	50	55	95	50	20	90	50	37	38	50
StateGrid	224	1518208667718	18	0	1	0	0	1	0	1	269	60	50	318	79	50	342	49	50	327	61	50	269	60	50	105	19	50	342	49	50	327	61	50	269	60	50	318	79	50	342	49	50	327	61	50	269	60	50	105	19	50	342	49	50	327	61	50
StateGrid	224	1518208667718	19	0	0	1	1	1	0	4	97	33	50	109	93	50	178	78	50	50	26	50	41	19	50	84	17	50	231	52	50	352	39	50	41	19	50	84	17	50	231	52	50	352	39	50	97	33	50	109	93	50	178	78	50	50	26	50
