type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	746	1518208669784	0	0	1	0	0	1	0	4	75	76	50	116	20	50	213	34	50	65	77	50	210	78	50	50	19	50	342	18	50	116	58	50	75	76	50	116	20	50	213	34	50	65	77	50	210	78	50	50	19	50	342	18	50	116	58	50
StateGrid	746	1518208669784	1	0	1	0	0	1	0	3	101	33	50	346	30	50	156	58	50	322	18	50	284	67	50	346	30	50	70	21	50	200	57	50	101	33	50	346	30	50	156	58	50	322	18	50	284	67	50	346	30	50	70	21	50	200	57	50
StateGrid	746	1518208669784	2	0	1	0	0	1	0	1	89	96	50	114	69	50	320	51	50	271	29	50	89	96	50	114	69	50	36	56	50	271	29	50	89	96	50	114	69	50	320	51	50	271	29	50	89	96	50	114	69	50	36	56	50	271	29	50
StateGrid	746	1518208669784	3	0	1	0	1	0	1	2	78	82	50	45	30	50	14	94	50	176	65	50	175	28	50	69	45	50	14	94	50	176	65	50	175	28	50	69	45	50	14	94	50	176	65	50	78	82	50	45	30	50	14	94	50	176	65	50
StateGrid	746	1518208669784	4	0	1	0	0	1	0	3	57	35	50	39	14	50	270	81	50	115	60	50	224	10	50	287	6	50	270	81	50	57	76	50	57	35	50	39	14	50	270	81	50	115	60	50	224	10	50	287	6	50	270	81	50	57	76	50
StateGrid	746	1518208669786	5	1	0	1	1	0	1	1	215	49	50	350	65	50	157	77	50	69	29	50	215	49	50	350	65	50	347	14	50	69	29	50	215	49	50	350	65	50	157	77	50	69	29	50	215	49	50	350	65	50	347	14	50	69	29	50
StateGrid	746	1518208669786	6	1	1	0	0	0	1	2	42	36	50	290	64	50	47	95	50	246	65	50	134	73	50	290	64	50	181	36	50	246	65	50	134	73	50	290	64	50	181	36	50	246	65	50	42	36	50	290	64	50	47	95	50	246	65	50
StateGrid	746	1518208669786	7	1	0	1	1	0	1	4	232	75	50	212	18	50	268	75	50	331	70	50	231	74	50	251	73	50	222	82	50	184	62	50	232	75	50	212	18	50	268	75	50	331	70	50	231	74	50	251	73	50	222	82	50	184	62	50
StateGrid	746	1518208669786	8	0	1	0	1	0	1	1	151	40	50	184	90	50	337	75	50	309	17	50	151	40	50	184	90	50	337	75	50	146	7	50	151	40	50	184	90	50	337	75	50	146	7	50	151	40	50	184	90	50	337	75	50	309	17	50
StateGrid	746	1518208669786	9	1	0	1	1	0	1	3	233	54	50	352	40	50	95	29	50	331	65	50	12	7	50	190	18	50	122	71	50	331	65	50	233	54	50	352	40	50	95	29	50	331	65	50	12	7	50	190	18	50	122	71	50	331	65	50
StateGrid	746	1518208669791	10	1	1	0	0	0	1	3	26	72	50	93	24	50	225	83	50	83	15	50	26	72	50	341	81	50	345	26	50	355	17	50	26	72	50	341	81	50	345	26	50	355	17	50	26	72	50	93	24	50	225	83	50	83	15	50
StateGrid	746	1518208669791	11	0	1	0	0	1	0	4	21	37	50	202	16	50	214	88	50	213	8	50	70	96	50	224	81	50	139	93	50	264	24	50	21	37	50	202	16	50	214	88	50	213	8	50	70	96	50	224	81	50	139	93	50	264	24	50
StateGrid	746	1518208669791	12	1	1	0	1	1	0	3	284	40	50	194	20	50	297	98	50	24	91	50	289	37	50	117	71	50	294	39	50	24	91	50	284	40	50	194	20	50	297	98	50	24	91	50	289	37	50	117	71	50	294	39	50	24	91	50
StateGrid	746	1518208669791	13	1	0	1	1	0	1	4	232	48	50	326	67	50	174	30	50	240	10	50	42	2	50	203	72	50	21	89	50	40	10	50	232	48	50	326	67	50	174	30	50	240	10	50	42	2	50	203	72	50	21	89	50	40	10	50
StateGrid	746	1518208669791	14	0	0	1	1	1	0	2	262	29	50	142	0	50	75	12	50	306	11	50	262	29	50	142	0	50	114	76	50	83	96	50	262	29	50	142	0	50	114	76	50	83	96	50	262	29	50	142	0	50	75	12	50	306	11	50
StateGrid	746	1518208669792	15	0	0	1	1	1	0	4	301	71	50	60	38	50	207	10	50	229	16	50	271	98	50	334	95	50	66	67	50	151	22	50	271	98	50	334	95	50	66	67	50	151	22	50	301	71	50	60	38	50	207	10	50	229	16	50
StateGrid	746	1518208669792	16	1	1	0	0	0	1	1	79	13	50	212	8	50	349	41	50	114	94	50	79	13	50	212	8	50	348	95	50	114	94	50	79	13	50	212	8	50	348	95	50	114	94	50	79	13	50	212	8	50	349	41	50	114	94	50
StateGrid	746	1518208669792	17	0	1	0	0	1	0	2	311	13	50	176	22	50	270	54	50	146	98	50	335	45	50	176	22	50	270	54	50	320	60	50	311	13	50	176	22	50	270	54	50	146	98	50	335	45	50	176	22	50	270	54	50	320	60	50
StateGrid	746	1518208669792	18	1	0	1	0	1	0	2	272	89	50	78	39	50	80	40	50	24	10	50	324	61	50	78	39	50	105	26	50	24	10	50	324	61	50	78	39	50	105	26	50	24	10	50	272	89	50	78	39	50	80	40	50	24	10	50
StateGrid	746	1518208669792	19	0	0	1	0	0	1	1	45	10	50	322	92	50	165	59	50	235	57	50	45	10	50	180	90	50	165	59	50	235	57	50	45	10	50	322	92	50	165	59	50	235	57	50	45	10	50	180	90	50	165	59	50	235	57	50
