type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	537	1518208668997	0	0	1	0	1	0	1	1	280	53	50	226	46	50	165	17	50	87	59	50	280	53	50	85	55	50	165	17	50	87	59	50	280	53	50	85	55	50	165	17	50	87	59	50	280	53	50	226	46	50	165	17	50	87	59	50
StateGrid	537	1518208668997	1	0	1	0	0	1	0	1	75	10	50	259	31	50	335	75	50	142	54	50	75	10	50	40	66	50	335	75	50	142	54	50	75	10	50	259	31	50	335	75	50	142	54	50	75	10	50	40	66	50	335	75	50	142	54	50
StateGrid	537	1518208668999	2	1	1	0	1	1	0	3	338	71	50	165	20	50	280	39	50	126	76	50	273	58	50	178	28	50	280	39	50	94	58	50	338	71	50	165	20	50	280	39	50	126	76	50	273	58	50	178	28	50	280	39	50	94	58	50
StateGrid	537	1518208668999	3	0	1	0	0	1	0	1	221	69	50	55	30	50	350	19	50	9	47	50	173	92	50	55	30	50	350	19	50	9	47	50	221	69	50	55	30	50	350	19	50	9	47	50	173	92	50	55	30	50	350	19	50	9	47	50
StateGrid	537	1518208668999	4	1	0	1	1	0	1	4	111	94	50	255	47	50	87	87	50	342	64	50	25	65	50	235	71	50	338	54	50	94	8	50	111	94	50	255	47	50	87	87	50	342	64	50	25	65	50	235	71	50	338	54	50	94	8	50
StateGrid	537	1518208668999	5	0	0	1	0	0	1	2	24	3	50	185	16	50	124	26	50	320	40	50	24	3	50	246	33	50	124	26	50	57	72	50	24	3	50	185	16	50	124	26	50	320	40	50	24	3	50	246	33	50	124	26	50	57	72	50
StateGrid	537	1518208668999	6	0	1	0	0	1	0	4	50	85	50	233	90	50	196	3	50	190	59	50	23	14	50	269	49	50	68	36	50	311	35	50	50	85	50	233	90	50	196	3	50	190	59	50	23	14	50	269	49	50	68	36	50	311	35	50
StateGrid	537	1518208668999	7	0	1	0	1	0	1	3	330	99	50	133	93	50	281	52	50	73	50	50	278	36	50	133	93	50	5	69	50	119	24	50	278	36	50	133	93	50	5	69	50	119	24	50	330	99	50	133	93	50	281	52	50	73	50	50
StateGrid	537	1518208668999	8	0	1	0	1	0	1	4	109	93	50	170	34	50	306	2	50	249	17	50	184	65	50	288	11	50	280	52	50	162	56	50	184	65	50	288	11	50	280	52	50	162	56	50	109	93	50	170	34	50	306	2	50	249	17	50
StateGrid	537	1518208669000	9	0	0	1	1	1	0	2	127	87	50	273	66	50	22	46	50	221	69	50	281	4	50	273	66	50	298	82	50	221	69	50	281	4	50	273	66	50	298	82	50	221	69	50	127	87	50	273	66	50	22	46	50	221	69	50
StateGrid	537	1518208669000	10	1	1	0	0	0	1	2	89	65	50	52	55	50	309	94	50	272	2	50	89	65	50	174	49	50	45	6	50	272	2	50	89	65	50	174	49	50	45	6	50	272	2	50	89	65	50	52	55	50	309	94	50	272	2	50
StateGrid	537	1518208669000	11	1	0	1	0	1	0	4	33	49	50	97	53	50	74	37	50	301	8	50	241	66	50	239	32	50	294	56	50	336	0	50	241	66	50	239	32	50	294	56	50	336	0	50	33	49	50	97	53	50	74	37	50	301	8	50
StateGrid	537	1518208669000	12	0	0	1	1	1	0	2	243	42	50	333	5	50	328	63	50	351	13	50	252	23	50	136	85	50	328	63	50	351	13	50	252	23	50	136	85	50	328	63	50	351	13	50	243	42	50	333	5	50	328	63	50	351	13	50
StateGrid	537	1518208669000	13	0	0	1	0	0	1	2	263	76	50	337	94	50	274	91	50	307	8	50	263	76	50	27	22	50	173	30	50	307	8	50	263	76	50	337	94	50	274	91	50	307	8	50	263	76	50	27	22	50	173	30	50	307	8	50
StateGrid	537	1518208669000	14	0	0	1	1	1	0	1	186	93	50	22	29	50	248	74	50	30	56	50	337	27	50	22	29	50	248	74	50	30	56	50	337	27	50	22	29	50	248	74	50	30	56	50	186	93	50	22	29	50	248	74	50	30	56	50
StateGrid	537	1518208669000	15	1	1	0	0	0	1	4	252	25	50	149	28	50	0	75	50	110	56	50	109	88	50	48	64	50	202	17	50	325	68	50	109	88	50	48	64	50	202	17	50	325	68	50	252	25	50	149	28	50	0	75	50	110	56	50
StateGrid	537	1518208669000	16	1	0	1	0	1	0	3	40	20	50	74	59	50	128	30	50	122	50	50	158	54	50	74	59	50	251	83	50	183	26	50	158	54	50	74	59	50	251	83	50	183	26	50	40	20	50	74	59	50	128	30	50	122	50	50
