type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	948	1518208670426	0	0	1	0	0	1	0	1	283	58	50	71	1	50	195	29	50	317	17	50	283	58	50	71	1	50	195	29	50	100	72	50	283	58	50	71	1	50	195	29	50	317	17	50	283	58	50	71	1	50	195	29	50	100	72	50
StateGrid	948	1518208670426	1	0	1	0	1	0	1	3	64	21	50	346	53	50	311	29	50	128	40	50	64	21	50	214	88	50	50	56	50	299	19	50	64	21	50	214	88	50	50	56	50	299	19	50	64	21	50	346	53	50	311	29	50	128	40	50
StateGrid	948	1518208670426	2	1	0	1	1	0	1	2	120	73	50	29	81	50	219	85	50	202	49	50	213	61	50	159	38	50	219	85	50	202	49	50	120	73	50	29	81	50	219	85	50	202	49	50	213	61	50	159	38	50	219	85	50	202	49	50
StateGrid	948	1518208670426	3	1	1	0	0	0	1	4	72	35	50	13	30	50	328	78	50	237	6	50	344	53	50	36	43	50	250	16	50	205	85	50	344	53	50	36	43	50	250	16	50	205	85	50	72	35	50	13	30	50	328	78	50	237	6	50
StateGrid	948	1518208670426	4	1	0	1	1	0	1	2	52	94	50	216	98	50	113	0	50	279	56	50	249	78	50	216	98	50	113	0	50	76	91	50	52	94	50	216	98	50	113	0	50	279	56	50	249	78	50	216	98	50	113	0	50	76	91	50
StateGrid	948	1518208670427	5	1	0	1	1	0	1	4	319	16	50	105	50	50	44	56	50	192	64	50	245	50	50	122	62	50	287	76	50	154	38	50	319	16	50	105	50	50	44	56	50	192	64	50	245	50	50	122	62	50	287	76	50	154	38	50
StateGrid	948	1518208670427	6	1	0	1	1	0	1	3	224	27	50	140	59	50	144	84	50	79	15	50	224	27	50	135	24	50	124	49	50	157	80	50	224	27	50	140	59	50	144	84	50	79	15	50	224	27	50	135	24	50	124	49	50	157	80	50
StateGrid	948	1518208670427	7	0	1	0	0	1	0	1	233	14	50	261	28	50	166	30	50	210	44	50	233	14	50	135	45	50	166	30	50	210	44	50	233	14	50	261	28	50	166	30	50	210	44	50	233	14	50	135	45	50	166	30	50	210	44	50
StateGrid	948	1518208670427	8	0	0	1	0	0	1	4	174	12	50	205	79	50	244	95	50	272	36	50	177	78	50	153	96	50	176	49	50	32	38	50	174	12	50	205	79	50	244	95	50	272	36	50	177	78	50	153	96	50	176	49	50	32	38	50
StateGrid	948	1518208670427	9	0	0	1	0	0	1	1	347	3	50	315	32	50	22	77	50	176	81	50	347	3	50	315	32	50	89	57	50	176	81	50	347	3	50	315	32	50	22	77	50	176	81	50	347	3	50	315	32	50	89	57	50	176	81	50
