type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL
StateGrid	802	1518208669961	0	1	0	1	0	1	0	3	255	7	50	97	73	50	53	91	50	174	64	50	246	34	50	301	58	50	145	83	50	174	64	50	246	34	50	301	58	50	145	83	50	174	64	50	255	7	50	97	73	50	53	91	50	174	64	50
StateGrid	802	1518208669961	1	1	0	1	1	0	1	2	262	61	50	153	71	50	23	38	50	305	60	50	262	61	50	24	33	50	23	38	50	294	38	50	262	61	50	153	71	50	23	38	50	305	60	50	262	61	50	24	33	50	23	38	50	294	38	50
StateGrid	802	1518208669961	2	1	1	0	0	0	1	4	246	2	50	127	77	50	167	19	50	129	41	50	312	81	50	7	29	50	180	90	50	158	72	50	312	81	50	7	29	50	180	90	50	158	72	50	246	2	50	127	77	50	167	19	50	129	41	50
StateGrid	802	1518208669961	3	1	1	0	1	1	0	4	131	89	50	215	65	50	214	85	50	283	84	50	293	33	50	52	63	50	337	53	50	289	91	50	131	89	50	215	65	50	214	85	50	283	84	50	293	33	50	52	63	50	337	53	50	289	91	50
StateGrid	802	1518208669961	4	0	0	1	0	0	1	3	54	54	50	107	43	50	212	64	50	336	8	50	190	33	50	79	28	50	212	64	50	84	84	50	54	54	50	107	43	50	212	64	50	336	8	50	190	33	50	79	28	50	212	64	50	84	84	50
StateGrid	802	1518208669961	5	0	1	0	1	0	1	4	25	75	50	92	58	50	194	49	50	133	14	50	246	39	50	124	57	50	103	68	50	138	88	50	246	39	50	124	57	50	103	68	50	138	88	50	25	75	50	92	58	50	194	49	50	133	14	50
StateGrid	802	1518208669961	6	0	0	1	1	1	0	3	179	40	50	78	27	50	270	89	50	205	89	50	125	85	50	78	27	50	305	75	50	29	72	50	125	85	50	78	27	50	305	75	50	29	72	50	179	40	50	78	27	50	270	89	50	205	89	50
StateGrid	802	1518208669961	7	1	1	0	0	0	1	2	104	37	50	355	58	50	346	25	50	99	37	50	320	73	50	355	58	50	143	85	50	99	37	50	320	73	50	355	58	50	143	85	50	99	37	50	104	37	50	355	58	50	346	25	50	99	37	50
StateGrid	802	1518208669961	8	1	1	0	0	0	1	4	148	27	50	310	74	50	12	34	50	223	87	50	350	24	50	238	19	50	260	95	50	81	52	50	350	24	50	238	19	50	260	95	50	81	52	50	148	27	50	310	74	50	12	34	50	223	87	50
StateGrid	802	1518208669961	9	0	1	0	1	0	1	2	123	51	50	61	57	50	204	65	50	110	56	50	8	40	50	61	57	50	322	47	50	110	56	50	8	40	50	61	57	50	322	47	50	110	56	50	123	51	50	61	57	50	204	65	50	110	56	50
