eventType	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198246597	1	0	0	1	0	0	1	5	55	84	50	148	4	50	54	62	50	135	74	50	39	28	50	324	82	50	110	40	50	112	92	50	186	45	50	55	84	50	148	4	50	87	25	50	209	50	50	39	28	50	351	1	50	196	16	50	161	65	50	186	45	50	55	84	50	148	4	50	54	62	50	135	74	50	39	28	50	324	82	50	110	40	50	112	92	50	186	45	50	55	84	50	148	4	50	87	25	50	209	50	50	39	28	50	351	1	50	196	16	50	161	65	50	186	45	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198286146	2	1	0	1	0	1	0	7	239	20	50	5	87	50	249	19	50	98	70	50	75	25	50	64	79	50	234	18	50	190	58	50	196	16	50	239	20	50	5	87	50	244	90	50	187	26	50	260	22	50	52	64	50	224	22	50	114	11	50	68	49	50	239	20	50	5	87	50	244	90	50	187	26	50	260	22	50	52	64	50	224	22	50	114	11	50	68	49	50	239	20	50	5	87	50	249	19	50	98	70	50	75	25	50	64	79	50	234	18	50	190	58	50	196	16	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198319586	3	0	0	1	0	0	1	6	244	67	50	173	35	50	304	24	50	24	80	50	183	25	50	158	23	50	163	83	50	75	92	50	18	75	50	130	93	50	136	20	50	189	69	50	24	80	50	211	79	50	144	42	50	150	65	50	75	92	50	18	75	50	244	67	50	173	35	50	304	24	50	24	80	50	183	25	50	158	23	50	163	83	50	75	92	50	18	75	50	130	93	50	136	20	50	189	69	50	24	80	50	211	79	50	144	42	50	150	65	50	75	92	50	18	75	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198338190	4	0	1	0	1	0	1	2	82	72	50	298	64	50	195	8	50	270	80	50	76	55	50	253	33	50	343	61	50	28	54	50	208	62	50	178	8	50	298	64	50	195	8	50	270	80	50	76	55	50	253	33	50	343	61	50	28	54	50	308	58	50	178	8	50	298	64	50	195	8	50	270	80	50	76	55	50	253	33	50	343	61	50	28	54	50	308	58	50	82	72	50	298	64	50	195	8	50	270	80	50	76	55	50	253	33	50	343	61	50	28	54	50	208	62	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198369746	5	1	0	1	0	1	0	1	251	61	50	18	68	50	306	82	50	152	75	50	198	38	50	337	72	50	197	25	50	124	51	50	334	47	50	251	61	50	18	68	50	306	82	50	177	70	50	198	38	50	337	72	50	197	25	50	124	51	50	334	47	50	251	61	50	18	68	50	306	82	50	177	70	50	198	38	50	337	72	50	197	25	50	124	51	50	334	47	50	251	61	50	18	68	50	306	82	50	152	75	50	198	38	50	337	72	50	197	25	50	124	51	50	334	47	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198383245	6	1	0	1	0	1	0	9	322	27	50	246	43	50	62	27	50	187	3	50	331	34	50	94	63	50	355	47	50	91	93	50	164	95	50	22	70	50	297	19	50	89	63	50	136	12	50	209	60	50	225	10	50	54	6	50	154	14	50	71	82	50	22	70	50	297	19	50	89	63	50	136	12	50	209	60	50	225	10	50	54	6	50	154	14	50	71	82	50	322	27	50	246	43	50	62	27	50	187	3	50	331	34	50	94	63	50	355	47	50	91	93	50	164	95	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198403220	7	1	0	1	1	0	1	7	176	1	50	108	72	50	191	78	50	257	91	50	39	44	50	318	74	50	120	6	50	124	58	50	5	33	50	242	42	50	108	72	50	170	71	50	57	28	50	198	62	50	31	64	50	165	88	50	124	58	50	140	79	50	176	1	50	108	72	50	191	78	50	257	91	50	39	44	50	318	74	50	120	6	50	124	58	50	5	33	50	242	42	50	108	72	50	170	71	50	57	28	50	198	62	50	31	64	50	165	88	50	124	58	50	140	79	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198430454	8	0	0	1	1	1	0	4	79	31	50	317	22	50	255	60	50	180	76	50	90	23	50	234	83	50	246	16	50	139	10	50	261	33	50	185	51	50	102	86	50	255	60	50	30	3	50	90	23	50	234	83	50	246	16	50	98	38	50	261	33	50	185	51	50	102	86	50	255	60	50	30	3	50	90	23	50	234	83	50	246	16	50	98	38	50	261	33	50	79	31	50	317	22	50	255	60	50	180	76	50	90	23	50	234	83	50	246	16	50	139	10	50	261	33	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198453692	9	0	1	0	1	0	1	8	301	5	50	339	89	50	304	22	50	132	43	50	111	15	50	119	25	50	204	31	50	192	58	50	91	35	50	131	5	50	167	54	50	121	13	50	307	96	50	8	60	50	119	25	50	162	77	50	348	27	50	184	82	50	131	5	50	167	54	50	121	13	50	307	96	50	8	60	50	119	25	50	162	77	50	348	27	50	184	82	50	301	5	50	339	89	50	304	22	50	132	43	50	111	15	50	119	25	50	204	31	50	192	58	50	91	35	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198470222	10	0	0	1	1	1	0	5	237	98	50	240	45	50	297	98	50	303	95	50	118	99	50	134	6	50	327	46	50	105	91	50	333	12	50	237	98	50	351	66	50	311	16	50	351	75	50	118	99	50	134	6	50	234	39	50	105	91	50	85	39	50	237	98	50	351	66	50	311	16	50	351	75	50	118	99	50	134	6	50	234	39	50	105	91	50	85	39	50	237	98	50	240	45	50	297	98	50	303	95	50	118	99	50	134	6	50	327	46	50	105	91	50	333	12	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198494910	11	0	0	1	1	1	0	8	36	40	50	68	79	50	177	23	50	103	81	50	280	41	50	297	74	50	3	69	50	93	13	50	345	75	50	51	30	50	240	10	50	225	64	50	354	75	50	280	41	50	4	53	50	260	75	50	20	71	50	323	27	50	51	30	50	240	10	50	225	64	50	354	75	50	280	41	50	4	53	50	260	75	50	20	71	50	323	27	50	36	40	50	68	79	50	177	23	50	103	81	50	280	41	50	297	74	50	3	69	50	93	13	50	345	75	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198514597	12	0	0	1	1	1	0	3	90	16	50	88	0	50	167	7	50	162	50	50	26	74	50	314	69	50	324	81	50	291	61	50	310	16	50	90	16	50	88	0	50	51	62	50	162	50	50	330	38	50	314	69	50	324	81	50	103	36	50	310	16	50	90	16	50	88	0	50	51	62	50	162	50	50	330	38	50	314	69	50	324	81	50	103	36	50	310	16	50	90	16	50	88	0	50	167	7	50	162	50	50	26	74	50	314	69	50	324	81	50	291	61	50	310	16	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198545517	13	0	0	1	0	0	1	1	122	92	50	234	12	50	309	55	50	253	87	50	112	19	50	93	13	50	215	74	50	282	38	50	244	74	50	122	92	50	234	12	50	309	55	50	253	87	50	94	52	50	93	13	50	215	74	50	282	38	50	244	74	50	122	92	50	234	12	50	309	55	50	253	87	50	112	19	50	93	13	50	215	74	50	282	38	50	244	74	50	122	92	50	234	12	50	309	55	50	253	87	50	94	52	50	93	13	50	215	74	50	282	38	50	244	74	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198567151	14	0	0	1	1	1	0	2	296	52	50	280	12	50	31	69	50	105	29	50	220	58	50	96	31	50	45	92	50	153	74	50	22	84	50	296	52	50	108	83	50	203	53	50	105	29	50	220	58	50	96	31	50	45	92	50	153	74	50	22	84	50	296	52	50	108	83	50	203	53	50	105	29	50	220	58	50	96	31	50	45	92	50	153	74	50	22	84	50	296	52	50	280	12	50	31	69	50	105	29	50	220	58	50	96	31	50	45	92	50	153	74	50	22	84	50
state	3604-9cd00186-3790-4006-ab66-b386abf861c1	1511198583359	15	0	1	0	1	0	1	4	346	23	50	263	86	50	323	38	50	127	64	50	298	27	50	97	93	50	174	34	50	55	2	50	351	33	50	346	23	50	263	86	50	323	38	50	127	64	50	205	14	50	97	93	50	236	83	50	63	62	50	256	29	50	346	23	50	263	86	50	323	38	50	127	64	50	205	14	50	97	93	50	236	83	50	63	62	50	256	29	50	346	23	50	263	86	50	323	38	50	127	64	50	298	27	50	97	93	50	174	34	50	55	2	50	351	33	50
