eventType	gameid	time	roundNum	lClicked	mouseX	mouseY
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200482850	1	1	465	158
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200511250	2	0	194	182
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200537665	3	1	435	142
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200574759	4	0	156	106
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200612951	5	1	456	226
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200661670	6	0	211	96
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200698113	7	1	362	138
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200730500	8	0	208	159
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200754079	9	0	217	218
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200797951	10	1	445	140
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200841532	11	1	405	123
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200867673	12	1	456	110
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200899026	13	1	436	123
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200920727	14	1	418	163
action	9578-a1131dce-4a2f-4971-ac3e-f4707e4263db	1511200978368	15	0	190	108
