eventType	gameid	time	roundNum	lClicked	mouseX	mouseY
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196499796	1	1	375	233
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196514641	2	1	516	198
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196534239	3	1	472	273
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196557242	4	0	189	215
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196578500	5	1	405	162
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196604276	6	0	117	146
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196618340	7	1	535	135
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196634601	8	0	172	148
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196656927	9	0	99	212
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196675831	10	1	370	219
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196690901	11	0	62	125
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196709122	12	1	446	203
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196722723	13	1	446	203
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196737741	14	1	505	180
action	3880-ccdeeddc-6533-4995-b3b7-ee56ec4c4fe4	1511196785945	15	1	456	209
