eventType	gameid	time	roundNum	lClicked	mouseX	mouseY
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198868145	1	1	425	265
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198883545	2	1	421	273
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198897615	3	0	151	294
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198913169	4	1	456	209
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198924620	5	0	149	209
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198937677	6	1	490	294
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198952086	7	1	437	267
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198959165	8	1	476	158
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198976125	9	1	490	226
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511198986783	10	1	449	122
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199002111	11	1	410	131
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199012351	12	1	459	108
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199030568	13	0	139	171
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199038173	14	1	443	143
action	0439-23e0b306-2b86-40cc-bb42-e58e3e4b8092	1511199065719	15	1	512	229
