type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	skewProb	colorDiffMin	colorDiffMax	condition	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj0_Shp1_ClrH	sObj0_Shp1_ClrS	sObj0_Shp1_ClrL	sObj0_Shp2_ClrH	sObj0_Shp2_ClrS	sObj0_Shp2_ClrL	sObj0_Shp3_ClrH	sObj0_Shp3_ClrS	sObj0_Shp3_ClrL	sObj0_Shp4_ClrH	sObj0_Shp4_ClrS	sObj0_Shp4_ClrL	sObj0_Shp5_ClrH	sObj0_Shp5_ClrS	sObj0_Shp5_ClrL	sObj0_Shp6_ClrH	sObj0_Shp6_ClrS	sObj0_Shp6_ClrL	sObj0_Shp7_ClrH	sObj0_Shp7_ClrS	sObj0_Shp7_ClrL	sObj0_Shp8_ClrH	sObj0_Shp8_ClrS	sObj0_Shp8_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	sObj1_Shp1_ClrH	sObj1_Shp1_ClrS	sObj1_Shp1_ClrL	sObj1_Shp2_ClrH	sObj1_Shp2_ClrS	sObj1_Shp2_ClrL	sObj1_Shp3_ClrH	sObj1_Shp3_ClrS	sObj1_Shp3_ClrL	sObj1_Shp4_ClrH	sObj1_Shp4_ClrS	sObj1_Shp4_ClrL	sObj1_Shp5_ClrH	sObj1_Shp5_ClrS	sObj1_Shp5_ClrL	sObj1_Shp6_ClrH	sObj1_Shp6_ClrS	sObj1_Shp6_ClrL	sObj1_Shp7_ClrH	sObj1_Shp7_ClrS	sObj1_Shp7_ClrL	sObj1_Shp8_ClrH	sObj1_Shp8_ClrS	sObj1_Shp8_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj0_Shp1_ClrH	lObj0_Shp1_ClrS	lObj0_Shp1_ClrL	lObj0_Shp2_ClrH	lObj0_Shp2_ClrS	lObj0_Shp2_ClrL	lObj0_Shp3_ClrH	lObj0_Shp3_ClrS	lObj0_Shp3_ClrL	lObj0_Shp4_ClrH	lObj0_Shp4_ClrS	lObj0_Shp4_ClrL	lObj0_Shp5_ClrH	lObj0_Shp5_ClrS	lObj0_Shp5_ClrL	lObj0_Shp6_ClrH	lObj0_Shp6_ClrS	lObj0_Shp6_ClrL	lObj0_Shp7_ClrH	lObj0_Shp7_ClrS	lObj0_Shp7_ClrL	lObj0_Shp8_ClrH	lObj0_Shp8_ClrS	lObj0_Shp8_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL	lObj1_Shp1_ClrH	lObj1_Shp1_ClrS	lObj1_Shp1_ClrL	lObj1_Shp2_ClrH	lObj1_Shp2_ClrS	lObj1_Shp2_ClrL	lObj1_Shp3_ClrH	lObj1_Shp3_ClrS	lObj1_Shp3_ClrL	lObj1_Shp4_ClrH	lObj1_Shp4_ClrS	lObj1_Shp4_ClrL	lObj1_Shp5_ClrH	lObj1_Shp5_ClrS	lObj1_Shp5_ClrL	lObj1_Shp6_ClrH	lObj1_Shp6_ClrS	lObj1_Shp6_ClrL	lObj1_Shp7_ClrH	lObj1_Shp7_ClrS	lObj1_Shp7_ClrL	lObj1_Shp8_ClrH	lObj1_Shp8_ClrS	lObj1_Shp8_ClrL
StateGrid	539	1520723651411	0	0	1	0	1	0	1	9	0.8	0	100	SKEWED	93	91	50	134	32	50	86	72	50	132	98	50	129	84	50	125	10	50	139	83	50	115	13	50	115	27	50	114	35	50	125	42	50	84	23	50	101	19	50	104	1	50	88	62	50	103	57	50	123	87	50	139	31	50	114	35	50	125	42	50	84	23	50	101	19	50	104	1	50	88	62	50	103	57	50	123	87	50	139	31	50	93	91	50	134	32	50	86	72	50	132	98	50	129	84	50	125	10	50	139	83	50	115	13	50	115	27	50
StateGrid	539	1520723651411	1	1	0	1	0	1	0	9	0.9	0	100	SKEWED	83	65	50	98	56	50	86	30	50	98	79	50	113	68	50	126	66	50	104	82	50	101	98	50	127	41	50	116	84	50	121	70	50	135	8	50	100	93	50	93	60	50	120	10	50	95	56	50	99	87	50	98	75	50	116	84	50	121	70	50	135	8	50	100	93	50	93	60	50	120	10	50	95	56	50	99	87	50	98	75	50	83	65	50	98	56	50	86	30	50	98	79	50	113	68	50	126	66	50	104	82	50	101	98	50	127	41	50
StateGrid	539	1520723651415	2	1	0	1	1	0	1	9	0.55	0	100	SKEWED	138	2	50	138	35	50	80	52	50	136	9	50	138	69	50	169	52	50	87	95	50	109	36	50	88	36	50	352	57	50	101	8	50	229	17	50	26	7	50	158	65	50	119	87	50	118	63	50	244	44	50	123	93	50	138	2	50	138	35	50	80	52	50	136	9	50	138	69	50	169	52	50	87	95	50	109	36	50	88	36	50	352	57	50	101	8	50	229	17	50	26	7	50	158	65	50	119	87	50	118	63	50	244	44	50	123	93	50
StateGrid	539	1520723651415	3	1	0	1	1	0	1	9	0.65	0	100	SKEWED	207	61	50	91	3	50	99	93	50	217	29	50	90	98	50	111	59	50	107	0	50	103	92	50	42	62	50	154	84	50	265	50	50	96	77	50	137	54	50	136	94	50	109	90	50	24	52	50	131	98	50	346	78	50	207	61	50	91	3	50	99	93	50	217	29	50	90	98	50	111	59	50	107	0	50	103	92	50	42	62	50	154	84	50	265	50	50	96	77	50	137	54	50	136	94	50	109	90	50	24	52	50	131	98	50	346	78	50
StateGrid	539	1520723651415	4	1	0	1	0	1	0	9	0.85	0	100	SKEWED	87	60	50	99	5	50	103	30	50	97	21	50	113	9	50	126	8	50	118	14	50	135	12	50	86	88	50	126	0	50	257	34	50	126	66	50	123	65	50	121	65	50	7	62	50	132	77	50	91	79	50	114	81	50	126	0	50	257	34	50	126	66	50	123	65	50	121	65	50	7	62	50	132	77	50	91	79	50	114	81	50	87	60	50	99	5	50	103	30	50	97	21	50	113	9	50	126	8	50	118	14	50	135	12	50	86	88	50
StateGrid	539	1520723651415	5	1	0	1	1	0	1	9	0.45	0	100	SKEWED	135	95	50	115	50	50	212	76	50	183	61	50	109	9	50	354	98	50	253	80	50	65	13	50	86	10	50	307	92	50	133	12	50	303	85	50	109	48	50	87	78	50	205	15	50	101	1	50	124	82	50	96	98	50	135	95	50	115	50	50	212	76	50	183	61	50	109	9	50	354	98	50	253	80	50	65	13	50	86	10	50	307	92	50	133	12	50	303	85	50	109	48	50	87	78	50	205	15	50	101	1	50	124	82	50	96	98	50
StateGrid	539	1520723651415	6	0	0	1	0	0	1	9	0.75	0	100	SKEWED	127	26	50	126	94	50	115	58	50	81	26	50	162	31	50	162	15	50	128	58	50	343	7	50	135	85	50	119	13	50	113	22	50	97	56	50	81	0	50	106	23	50	41	12	50	124	28	50	117	39	50	122	77	50	127	26	50	126	94	50	115	58	50	81	26	50	162	31	50	162	15	50	128	58	50	343	7	50	135	85	50	119	13	50	113	22	50	97	56	50	81	0	50	106	23	50	41	12	50	124	28	50	117	39	50	122	77	50
StateGrid	539	1520723651415	7	1	1	0	1	1	0	9	0.05	0	100	SKEWED	303	49	50	352	85	50	353	35	50	2	52	50	142	67	50	190	13	50	149	42	50	341	35	50	50	59	50	131	54	50	138	17	50	207	68	50	86	10	50	129	43	50	183	38	50	178	95	50	299	89	50	262	29	50	303	49	50	352	85	50	353	35	50	2	52	50	142	67	50	190	13	50	149	42	50	341	35	50	50	59	50	131	54	50	138	17	50	207	68	50	86	10	50	129	43	50	183	38	50	178	95	50	299	89	50	262	29	50
StateGrid	539	1520723651415	8	0	1	0	1	0	1	9	0	0	100	SKEWED	249	64	50	239	32	50	231	42	50	153	10	50	219	73	50	106	78	50	4	21	50	132	8	50	21	65	50	44	18	50	165	20	50	341	97	50	85	6	50	299	63	50	266	83	50	321	33	50	53	22	50	119	43	50	44	18	50	165	20	50	341	97	50	85	6	50	299	63	50	266	83	50	321	33	50	53	22	50	119	43	50	249	64	50	239	32	50	231	42	50	153	10	50	219	73	50	106	78	50	4	21	50	132	8	50	21	65	50
StateGrid	539	1520723651415	9	0	1	0	1	0	1	9	0.25	0	100	SKEWED	111	54	50	70	22	50	332	36	50	12	92	50	102	35	50	59	46	50	319	33	50	298	65	50	16	69	50	17	32	50	123	78	50	168	9	50	269	49	50	265	51	50	29	14	50	133	60	50	267	6	50	224	50	50	17	32	50	123	78	50	168	9	50	269	49	50	265	51	50	29	14	50	133	60	50	267	6	50	224	50	50	111	54	50	70	22	50	332	36	50	12	92	50	102	35	50	59	46	50	319	33	50	298	65	50	16	69	50
StateGrid	539	1520723651415	10	0	1	0	0	1	0	9	0.7	0	100	SKEWED	307	50	50	325	58	50	48	98	50	32	65	50	113	34	50	125	2	50	336	23	50	128	64	50	125	10	50	113	4	50	136	44	50	123	35	50	96	37	50	139	69	50	83	6	50	340	47	50	85	95	50	92	47	50	307	50	50	325	58	50	48	98	50	32	65	50	113	34	50	125	2	50	336	23	50	128	64	50	125	10	50	113	4	50	136	44	50	123	35	50	96	37	50	139	69	50	83	6	50	340	47	50	85	95	50	92	47	50
StateGrid	539	1520723651415	11	1	1	0	1	1	0	9	0.4	0	100	SKEWED	335	89	50	84	16	50	124	83	50	118	52	50	132	84	50	132	92	50	346	16	50	345	98	50	123	53	50	95	3	50	101	72	50	352	95	50	49	21	50	95	78	50	86	25	50	80	5	50	111	64	50	124	83	50	335	89	50	84	16	50	124	83	50	118	52	50	132	84	50	132	92	50	346	16	50	345	98	50	123	53	50	95	3	50	101	72	50	352	95	50	49	21	50	95	78	50	86	25	50	80	5	50	111	64	50	124	83	50
StateGrid	539	1520723651415	12	0	1	0	1	0	1	9	0.6	0	100	SKEWED	107	26	50	81	65	50	119	22	50	281	76	50	114	69	50	15	30	50	102	2	50	93	55	50	101	31	50	115	19	50	97	91	50	135	35	50	2	79	50	127	17	50	102	86	50	85	15	50	84	52	50	233	91	50	115	19	50	97	91	50	135	35	50	2	79	50	127	17	50	102	86	50	85	15	50	84	52	50	233	91	50	107	26	50	81	65	50	119	22	50	281	76	50	114	69	50	15	30	50	102	2	50	93	55	50	101	31	50
StateGrid	539	1520723651415	13	0	1	0	1	0	1	9	0.5	0	100	SKEWED	165	85	50	37	43	50	129	90	50	36	25	50	104	31	50	237	40	50	149	68	50	199	37	50	306	73	50	257	21	50	122	62	50	115	60	50	125	92	50	128	5	50	169	16	50	62	63	50	108	84	50	106	81	50	257	21	50	122	62	50	115	60	50	125	92	50	128	5	50	169	16	50	62	63	50	108	84	50	106	81	50	165	85	50	37	43	50	129	90	50	36	25	50	104	31	50	237	40	50	149	68	50	199	37	50	306	73	50
StateGrid	539	1520723651415	14	1	1	0	0	0	1	9	0.3	0	100	SKEWED	177	31	50	102	94	50	129	65	50	0	25	50	123	97	50	331	39	50	110	35	50	320	24	50	189	47	50	345	84	50	260	90	50	86	92	50	85	47	50	105	48	50	91	97	50	210	68	50	189	98	50	336	52	50	345	84	50	260	90	50	86	92	50	85	47	50	105	48	50	91	97	50	210	68	50	189	98	50	336	52	50	177	31	50	102	94	50	129	65	50	0	25	50	123	97	50	331	39	50	110	35	50	320	24	50	189	47	50
StateGrid	539	1520723651415	15	1	0	1	1	0	1	9	0.15	0	100	SKEWED	42	61	50	21	31	50	62	23	50	116	72	50	195	55	50	277	2	50	225	46	50	81	40	50	344	3	50	133	97	50	115	30	50	232	19	50	270	63	50	123	55	50	317	80	50	341	34	50	76	34	50	300	50	50	42	61	50	21	31	50	62	23	50	116	72	50	195	55	50	277	2	50	225	46	50	81	40	50	344	3	50	133	97	50	115	30	50	232	19	50	270	63	50	123	55	50	317	80	50	341	34	50	76	34	50	300	50	50
StateGrid	539	1520723651415	16	1	1	0	1	1	0	9	0.1	0	100	SKEWED	256	40	50	210	19	50	166	95	50	333	28	50	109	30	50	114	33	50	192	31	50	296	38	50	337	82	50	321	3	50	65	39	50	65	95	50	111	14	50	141	83	50	174	47	50	311	71	50	126	96	50	133	29	50	256	40	50	210	19	50	166	95	50	333	28	50	109	30	50	114	33	50	192	31	50	296	38	50	337	82	50	321	3	50	65	39	50	65	95	50	111	14	50	141	83	50	174	47	50	311	71	50	126	96	50	133	29	50
StateGrid	539	1520723651415	17	0	0	1	0	0	1	9	0.35	0	100	SKEWED	133	93	50	94	25	50	224	63	50	110	19	50	128	49	50	227	38	50	181	27	50	110	76	50	241	40	50	118	85	50	111	7	50	136	41	50	160	34	50	133	51	50	126	24	50	126	25	50	288	2	50	116	39	50	133	93	50	94	25	50	224	63	50	110	19	50	128	49	50	227	38	50	181	27	50	110	76	50	241	40	50	118	85	50	111	7	50	136	41	50	160	34	50	133	51	50	126	24	50	126	25	50	288	2	50	116	39	50
StateGrid	539	1520723651415	18	0	1	0	0	1	0	9	0.2	0	100	SKEWED	273	68	50	288	51	50	131	83	50	265	58	50	257	60	50	47	35	50	297	95	50	175	55	50	280	31	50	84	6	50	63	65	50	340	40	50	109	19	50	313	52	50	123	57	50	85	9	50	116	90	50	102	2	50	273	68	50	288	51	50	131	83	50	265	58	50	257	60	50	47	35	50	297	95	50	175	55	50	280	31	50	84	6	50	63	65	50	340	40	50	109	19	50	313	52	50	123	57	50	85	9	50	116	90	50	102	2	50
