objs	target	speakerOrder	listenerOrder	diffs
state	3	1513733084796	0	1	0	1	1	0	1	9	244	80	50	359	13	50	329	10	50	65	82	50	22	47	50	174	19	50	123	80	50	133	63	50	352	8	50	210	82	50	274	20	50	171	40	50	106	32	50	239	45	50	95	93	50	147	44	50	203	56	50	70	88	50	244	80	50	359	13	50	329	10	50	65	82	50	22	47	50	174	19	50	123	80	50	133	63	50	352	8	50	210	82	50	274	20	50	171	40	50	106	32	50	239	45	50	95	93	50	147	44	50	203	56	50	70	88	50
state	3	1513733084797	1	1	1	0	0	0	1	4	147	98	50	29	4	50	299	17	50	138	35	50	243	2	50	209	9	50	311	39	50	86	69	50	14	75	50	147	98	50	189	72	50	299	17	50	138	35	50	205	88	50	209	9	50	37	45	50	140	55	50	14	75	50	147	98	50	189	72	50	299	17	50	138	35	50	205	88	50	209	9	50	37	45	50	140	55	50	14	75	50	147	98	50	29	4	50	299	17	50	138	35	50	243	2	50	209	9	50	311	39	50	86	69	50	14	75	50
state	3	1513733084797	2	1	1	0	0	0	1	3	95	63	50	240	12	50	156	51	50	24	42	50	169	15	50	253	90	50	279	53	50	153	62	50	356	41	50	95	63	50	116	35	50	156	51	50	36	93	50	169	15	50	253	90	50	279	53	50	153	62	50	162	81	50	95	63	50	116	35	50	156	51	50	36	93	50	169	15	50	253	90	50	279	53	50	153	62	50	162	81	50	95	63	50	240	12	50	156	51	50	24	42	50	169	15	50	253	90	50	279	53	50	153	62	50	356	41	50
state	3	1513733084798	3	1	1	0	0	0	1	5	355	52	50	174	44	50	177	76	50	308	7	50	211	29	50	33	97	50	14	75	50	140	33	50	101	86	50	355	52	50	73	15	50	330	17	50	211	8	50	65	75	50	70	45	50	14	75	50	140	33	50	101	86	50	355	52	50	73	15	50	330	17	50	211	8	50	65	75	50	70	45	50	14	75	50	140	33	50	101	86	50	355	52	50	174	44	50	177	76	50	308	7	50	211	29	50	33	97	50	14	75	50	140	33	50	101	86	50
state	3	1513733084801	4	1	1	0	0	0	1	1	224	41	50	79	25	50	179	85	50	39	9	50	225	45	50	17	76	50	186	15	50	279	99	50	132	99	50	224	41	50	79	25	50	179	85	50	39	9	50	225	45	50	17	76	50	51	62	50	279	99	50	132	99	50	224	41	50	79	25	50	179	85	50	39	9	50	225	45	50	17	76	50	51	62	50	279	99	50	132	99	50	224	41	50	79	25	50	179	85	50	39	9	50	225	45	50	17	76	50	186	15	50	279	99	50	132	99	50
state	3	1513733084801	5	0	1	0	0	1	0	6	106	35	50	260	27	50	206	78	50	312	64	50	100	14	50	269	30	50	264	42	50	70	4	50	64	20	50	106	35	50	260	27	50	33	66	50	331	52	50	281	72	50	250	14	50	115	48	50	12	13	50	64	20	50	106	35	50	260	27	50	206	78	50	312	64	50	100	14	50	269	30	50	264	42	50	70	4	50	64	20	50	106	35	50	260	27	50	33	66	50	331	52	50	281	72	50	250	14	50	115	48	50	12	13	50	64	20	50
state	3	1513733084802	6	1	0	1	0	1	0	1	280	53	50	176	91	50	321	69	50	354	33	50	6	73	50	67	34	50	134	30	50	238	50	50	168	93	50	280	53	50	176	91	50	251	28	50	354	33	50	6	73	50	67	34	50	134	30	50	238	50	50	168	93	50	280	53	50	176	91	50	251	28	50	354	33	50	6	73	50	67	34	50	134	30	50	238	50	50	168	93	50	280	53	50	176	91	50	321	69	50	354	33	50	6	73	50	67	34	50	134	30	50	238	50	50	168	93	50
state	3	1513733084802	7	0	1	0	1	0	1	4	253	75	50	223	45	50	265	80	50	69	88	50	119	8	50	42	2	50	338	34	50	175	29	50	76	15	50	253	75	50	223	45	50	265	80	50	81	8	50	259	78	50	129	0	50	338	34	50	175	29	50	70	30	50	253	75	50	223	45	50	265	80	50	81	8	50	259	78	50	129	0	50	338	34	50	175	29	50	70	30	50	253	75	50	223	45	50	265	80	50	69	88	50	119	8	50	42	2	50	338	34	50	175	29	50	76	15	50
state	3	1513733084802	8	1	0	1	0	1	0	5	180	93	50	30	95	50	71	64	50	63	99	50	281	91	50	117	8	50	116	92	50	209	83	50	32	22	50	180	93	50	42	58	50	359	54	50	63	99	50	307	38	50	346	33	50	109	65	50	209	83	50	32	22	50	180	93	50	42	58	50	359	54	50	63	99	50	307	38	50	346	33	50	109	65	50	209	83	50	32	22	50	180	93	50	30	95	50	71	64	50	63	99	50	281	91	50	117	8	50	116	92	50	209	83	50	32	22	50
state	3	1513733084981	9	0	1	0	0	1	0	8	25	82	50	33	33	50	224	93	50	305	74	50	174	45	50	137	5	50	308	62	50	291	55	50	310	25	50	183	10	50	330	93	50	358	67	50	133	79	50	172	54	50	185	13	50	308	62	50	119	48	50	207	62	50	25	82	50	33	33	50	224	93	50	305	74	50	174	45	50	137	5	50	308	62	50	291	55	50	310	25	50	183	10	50	330	93	50	358	67	50	133	79	50	172	54	50	185	13	50	308	62	50	119	48	50	207	62	50
