type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	416	1518208658494	0	0	1	0	0	1	0	1	306	59	50	61	74	50	306	59	50	61	74	50
StateGrid	416	1518208658494	1	1	0	1	1	0	1	1	285	41	50	90	10	50	285	41	50	90	10	50
StateGrid	416	1518208658494	2	1	1	0	1	1	0	1	207	53	50	186	68	50	207	53	50	186	68	50
StateGrid	416	1518208658494	3	1	1	0	0	0	1	1	298	58	50	263	8	50	263	8	50	298	58	50
StateGrid	416	1518208658494	4	0	1	0	0	1	0	1	68	69	50	199	42	50	68	69	50	199	42	50
StateGrid	416	1518208658494	5	0	0	1	1	1	0	1	206	33	50	295	11	50	295	11	50	206	33	50
StateGrid	416	1518208658494	6	1	0	1	1	0	1	1	171	6	50	212	66	50	171	6	50	212	66	50
StateGrid	416	1518208658494	7	0	0	1	1	1	0	1	195	0	50	85	24	50	85	24	50	195	0	50
StateGrid	416	1518208658494	8	0	0	1	0	0	1	1	24	60	50	290	16	50	24	60	50	290	16	50
StateGrid	416	1518208658494	9	1	1	0	0	0	1	1	213	66	50	239	39	50	239	39	50	213	66	50
StateGrid	416	1518208658494	10	1	1	0	0	0	1	1	147	35	50	321	62	50	321	62	50	147	35	50
StateGrid	416	1518208658494	11	1	1	0	1	1	0	1	146	65	50	0	69	50	146	65	50	0	69	50
StateGrid	416	1518208658496	12	0	1	0	0	1	0	1	281	8	50	56	8	50	281	8	50	56	8	50
StateGrid	416	1518208658496	13	1	0	1	1	0	1	1	48	61	50	193	55	50	48	61	50	193	55	50
StateGrid	416	1518208658496	14	0	0	1	0	0	1	1	179	48	50	206	51	50	179	48	50	206	51	50
StateGrid	416	1518208658496	15	0	0	1	1	1	0	1	52	78	50	193	38	50	193	38	50	52	78	50
StateGrid	416	1518208658496	16	0	0	1	0	0	1	1	39	75	50	99	87	50	39	75	50	99	87	50
StateGrid	416	1518208658496	17	0	1	0	1	0	1	1	59	82	50	246	18	50	246	18	50	59	82	50
StateGrid	416	1518208658496	18	1	0	1	1	0	1	1	326	87	50	146	90	50	326	87	50	146	90	50
StateGrid	416	1518208658496	19	1	0	1	1	0	1	1	34	21	50	101	20	50	34	21	50	101	20	50
