type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	399	1518208658452	0	1	0	1	1	0	1	1	49	15	50	172	9	50	49	15	50	172	9	50
StateGrid	399	1518208658452	1	1	0	1	1	0	1	1	156	77	50	304	10	50	156	77	50	304	10	50
StateGrid	399	1518208658452	2	1	0	1	1	0	1	1	110	10	50	49	54	50	110	10	50	49	54	50
StateGrid	399	1518208658452	3	1	1	0	1	1	0	1	150	47	50	23	59	50	150	47	50	23	59	50
StateGrid	399	1518208658452	4	0	1	0	0	1	0	1	80	85	50	81	1	50	80	85	50	81	1	50
StateGrid	399	1518208658452	5	0	0	1	1	1	0	1	83	79	50	352	67	50	352	67	50	83	79	50
StateGrid	399	1518208658452	6	1	0	1	0	1	0	1	243	46	50	77	49	50	77	49	50	243	46	50
StateGrid	399	1518208658452	7	0	0	1	1	1	0	1	209	56	50	203	37	50	203	37	50	209	56	50
StateGrid	399	1518208658452	8	1	1	0	1	1	0	1	195	44	50	48	72	50	195	44	50	48	72	50
StateGrid	399	1518208658452	9	1	1	0	1	1	0	1	1	85	50	118	62	50	1	85	50	118	62	50
StateGrid	399	1518208658452	10	0	1	0	0	1	0	1	218	31	50	268	65	50	218	31	50	268	65	50
StateGrid	399	1518208658452	11	0	1	0	1	0	1	1	180	26	50	35	32	50	35	32	50	180	26	50
StateGrid	399	1518208658452	12	1	0	1	0	1	0	1	337	64	50	32	5	50	32	5	50	337	64	50
StateGrid	399	1518208658452	13	0	0	1	0	0	1	1	53	23	50	281	40	50	53	23	50	281	40	50
StateGrid	399	1518208658452	14	0	1	0	1	0	1	1	348	89	50	148	62	50	148	62	50	348	89	50
StateGrid	399	1518208658452	15	1	0	1	1	0	1	1	249	73	50	33	79	50	249	73	50	33	79	50
StateGrid	399	1518208658452	16	1	1	0	0	0	1	1	45	40	50	126	76	50	126	76	50	45	40	50
StateGrid	399	1518208658452	17	0	0	1	0	0	1	1	139	97	50	144	96	50	139	97	50	144	96	50
StateGrid	399	1518208658452	18	0	1	0	1	0	1	1	244	21	50	185	62	50	185	62	50	244	21	50
StateGrid	399	1518208658452	19	0	1	0	0	1	0	1	304	98	50	9	42	50	304	98	50	9	42	50
