type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	17	1518208657700	0	1	0	1	1	0	1	1	263	89	50	94	81	50	263	89	50	94	81	50
StateGrid	17	1518208657700	1	0	0	1	0	0	1	1	268	27	50	334	80	50	268	27	50	334	80	50
StateGrid	17	1518208657700	2	0	0	1	0	0	1	1	125	77	50	138	87	50	125	77	50	138	87	50
StateGrid	17	1518208657700	3	0	0	1	1	1	0	1	307	7	50	108	20	50	108	20	50	307	7	50
StateGrid	17	1518208657700	4	0	0	1	1	1	0	1	52	88	50	52	25	50	52	25	50	52	88	50
StateGrid	17	1518208657700	5	0	1	0	1	0	1	1	187	29	50	262	4	50	262	4	50	187	29	50
StateGrid	17	1518208657700	6	1	0	1	1	0	1	1	76	58	50	160	48	50	76	58	50	160	48	50
StateGrid	17	1518208657700	7	0	1	0	0	1	0	1	145	71	50	42	31	50	145	71	50	42	31	50
StateGrid	17	1518208657700	8	0	0	1	1	1	0	1	52	10	50	191	76	50	191	76	50	52	10	50
StateGrid	17	1518208657712	9	1	1	0	1	1	0	1	303	8	50	184	11	50	303	8	50	184	11	50
StateGrid	17	1518208657712	10	0	0	1	1	1	0	1	91	71	50	154	96	50	154	96	50	91	71	50
StateGrid	17	1518208657712	11	1	0	1	1	0	1	1	337	93	50	200	49	50	337	93	50	200	49	50
StateGrid	17	1518208657712	12	0	0	1	0	0	1	1	63	72	50	341	5	50	63	72	50	341	5	50
StateGrid	17	1518208657712	13	1	1	0	0	0	1	1	106	67	50	202	81	50	202	81	50	106	67	50
StateGrid	17	1518208657712	14	1	0	1	1	0	1	1	295	25	50	344	99	50	295	25	50	344	99	50
StateGrid	17	1518208657712	15	1	1	0	0	0	1	1	180	49	50	58	45	50	58	45	50	180	49	50
StateGrid	17	1518208657712	16	0	0	1	1	1	0	1	144	11	50	155	26	50	155	26	50	144	11	50
StateGrid	17	1518208657712	17	0	0	1	1	1	0	1	42	3	50	129	5	50	129	5	50	42	3	50
StateGrid	17	1518208657713	18	1	1	0	1	1	0	1	345	25	50	39	39	50	345	25	50	39	39	50
StateGrid	17	1518208657713	19	1	0	1	0	1	0	1	42	59	50	268	21	50	268	21	50	42	59	50
