type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	758	1518208659306	0	0	0	1	1	1	0	1	158	80	50	330	63	50	330	63	50	158	80	50
StateGrid	758	1518208659306	1	0	0	1	0	0	1	1	120	31	50	22	5	50	120	31	50	22	5	50
StateGrid	758	1518208659306	2	0	1	0	1	0	1	1	340	26	50	21	81	50	21	81	50	340	26	50
StateGrid	758	1518208659306	3	0	1	0	0	1	0	1	27	12	50	71	37	50	27	12	50	71	37	50
StateGrid	758	1518208659306	4	0	1	0	1	0	1	1	229	11	50	94	58	50	94	58	50	229	11	50
StateGrid	758	1518208659306	5	1	0	1	1	0	1	1	210	55	50	25	16	50	210	55	50	25	16	50
StateGrid	758	1518208659306	6	1	1	0	1	1	0	1	153	71	50	220	34	50	153	71	50	220	34	50
StateGrid	758	1518208659306	7	0	0	1	1	1	0	1	40	40	50	265	58	50	265	58	50	40	40	50
StateGrid	758	1518208659306	8	1	0	1	1	0	1	1	64	75	50	285	97	50	64	75	50	285	97	50
StateGrid	758	1518208659306	9	0	1	0	0	1	0	1	242	14	50	333	81	50	242	14	50	333	81	50
StateGrid	758	1518208659306	10	1	1	0	0	0	1	1	171	81	50	81	12	50	81	12	50	171	81	50
StateGrid	758	1518208659306	11	1	0	1	0	1	0	1	43	26	50	12	24	50	12	24	50	43	26	50
StateGrid	758	1518208659306	12	0	1	0	1	0	1	1	183	65	50	162	42	50	162	42	50	183	65	50
StateGrid	758	1518208659306	13	1	1	0	1	1	0	1	314	99	50	282	24	50	314	99	50	282	24	50
StateGrid	758	1518208659306	14	0	1	0	1	0	1	1	175	60	50	192	40	50	192	40	50	175	60	50
StateGrid	758	1518208659306	15	1	0	1	0	1	0	1	348	1	50	250	29	50	250	29	50	348	1	50
StateGrid	758	1518208659306	16	0	0	1	0	0	1	1	247	6	50	257	92	50	247	6	50	257	92	50
StateGrid	758	1518208659306	17	0	1	0	1	0	1	1	245	13	50	287	89	50	287	89	50	245	13	50
StateGrid	758	1518208659306	18	0	0	1	1	1	0	1	161	58	50	273	94	50	273	94	50	161	58	50
StateGrid	758	1518208659306	19	0	1	0	1	0	1	1	300	47	50	93	83	50	93	83	50	300	47	50
