type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	874	1518208659475	0	1	1	0	0	0	1	1	353	17	50	291	18	50	291	18	50	353	17	50
StateGrid	874	1518208659475	1	0	1	0	0	1	0	1	231	42	50	105	92	50	231	42	50	105	92	50
StateGrid	874	1518208659475	2	1	0	1	1	0	1	1	92	85	50	222	21	50	92	85	50	222	21	50
StateGrid	874	1518208659491	3	0	0	1	1	1	0	1	0	33	50	141	71	50	141	71	50	0	33	50
StateGrid	874	1518208659491	4	0	0	1	0	0	1	1	358	93	50	9	11	50	358	93	50	9	11	50
StateGrid	874	1518208659491	5	1	1	0	1	1	0	1	251	93	50	101	73	50	251	93	50	101	73	50
StateGrid	874	1518208659491	6	1	0	1	1	0	1	1	261	47	50	77	55	50	261	47	50	77	55	50
StateGrid	874	1518208659491	7	1	0	1	0	1	0	1	93	41	50	173	33	50	173	33	50	93	41	50
StateGrid	874	1518208659491	8	0	1	0	1	0	1	1	53	92	50	165	96	50	165	96	50	53	92	50
StateGrid	874	1518208659491	9	1	0	1	1	0	1	1	191	45	50	27	45	50	191	45	50	27	45	50
StateGrid	874	1518208659491	10	0	1	0	1	0	1	1	75	93	50	331	33	50	331	33	50	75	93	50
StateGrid	874	1518208659491	11	0	1	0	0	1	0	1	18	72	50	356	86	50	18	72	50	356	86	50
StateGrid	874	1518208659491	12	1	1	0	0	0	1	1	316	14	50	241	69	50	241	69	50	316	14	50
StateGrid	874	1518208659491	13	1	0	1	0	1	0	1	270	29	50	218	14	50	218	14	50	270	29	50
StateGrid	874	1518208659491	14	0	0	1	1	1	0	1	28	44	50	6	98	50	6	98	50	28	44	50
StateGrid	874	1518208659491	15	1	1	0	0	0	1	1	106	31	50	314	40	50	314	40	50	106	31	50
StateGrid	874	1518208659491	16	1	0	1	1	0	1	1	86	56	50	177	12	50	86	56	50	177	12	50
StateGrid	874	1518208659491	17	1	1	0	1	1	0	1	347	84	50	14	19	50	347	84	50	14	19	50
StateGrid	874	1518208659491	18	1	0	1	1	0	1	1	289	76	50	334	36	50	289	76	50	334	36	50
StateGrid	874	1518208659491	19	0	0	1	0	0	1	1	77	42	50	140	78	50	77	42	50	140	78	50
