type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	253	1518208658204	0	1	0	1	1	0	1	1	326	14	50	58	32	50	326	14	50	58	32	50
StateGrid	253	1518208658204	1	0	0	1	0	0	1	1	118	61	50	310	74	50	118	61	50	310	74	50
StateGrid	253	1518208658204	2	0	0	1	1	1	0	1	125	66	50	162	36	50	162	36	50	125	66	50
StateGrid	253	1518208658204	3	0	0	1	1	1	0	1	154	35	50	129	46	50	129	46	50	154	35	50
StateGrid	253	1518208658204	4	1	0	1	1	0	1	1	36	78	50	129	33	50	36	78	50	129	33	50
StateGrid	253	1518208658204	5	1	1	0	1	1	0	1	39	64	50	49	62	50	39	64	50	49	62	50
StateGrid	253	1518208658204	6	0	0	1	1	1	0	1	225	47	50	194	82	50	194	82	50	225	47	50
StateGrid	253	1518208658204	7	0	0	1	1	1	0	1	284	63	50	320	91	50	320	91	50	284	63	50
StateGrid	253	1518208658204	8	0	0	1	1	1	0	1	273	4	50	267	3	50	267	3	50	273	4	50
StateGrid	253	1518208658204	9	0	0	1	0	0	1	1	40	63	50	174	51	50	40	63	50	174	51	50
StateGrid	253	1518208658204	10	0	1	0	0	1	0	1	237	30	50	275	25	50	237	30	50	275	25	50
StateGrid	253	1518208658204	11	0	1	0	0	1	0	1	132	79	50	252	93	50	132	79	50	252	93	50
StateGrid	253	1518208658204	12	0	0	1	0	0	1	1	315	24	50	216	48	50	315	24	50	216	48	50
StateGrid	253	1518208658204	13	0	1	0	0	1	0	1	37	6	50	184	20	50	37	6	50	184	20	50
StateGrid	253	1518208658204	14	1	1	0	1	1	0	1	288	68	50	183	16	50	288	68	50	183	16	50
StateGrid	253	1518208658204	15	1	1	0	0	0	1	1	114	43	50	84	92	50	84	92	50	114	43	50
StateGrid	253	1518208658204	16	0	0	1	0	0	1	1	116	84	50	35	19	50	116	84	50	35	19	50
StateGrid	253	1518208658204	17	1	0	1	1	0	1	1	68	75	50	6	7	50	68	75	50	6	7	50
StateGrid	253	1518208658204	18	1	0	1	0	1	0	1	312	13	50	240	44	50	240	44	50	312	13	50
StateGrid	253	1518208658204	19	1	1	0	1	1	0	1	202	97	50	279	16	50	202	97	50	279	16	50
