type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	226	1518208658161	0	1	1	0	0	0	1	1	258	69	50	105	87	50	105	87	50	258	69	50
StateGrid	226	1518208658161	1	1	1	0	0	0	1	1	269	92	50	10	72	50	10	72	50	269	92	50
StateGrid	226	1518208658161	2	0	0	1	0	0	1	1	177	2	50	4	36	50	177	2	50	4	36	50
StateGrid	226	1518208658161	3	1	1	0	1	1	0	1	10	30	50	192	96	50	10	30	50	192	96	50
StateGrid	226	1518208658161	4	0	0	1	1	1	0	1	314	55	50	293	79	50	293	79	50	314	55	50
StateGrid	226	1518208658161	5	1	1	0	1	1	0	1	215	53	50	51	38	50	215	53	50	51	38	50
StateGrid	226	1518208658161	6	0	0	1	0	0	1	1	262	69	50	97	11	50	262	69	50	97	11	50
StateGrid	226	1518208658161	7	0	1	0	0	1	0	1	327	90	50	113	72	50	327	90	50	113	72	50
StateGrid	226	1518208658161	8	1	1	0	0	0	1	1	307	67	50	269	43	50	269	43	50	307	67	50
StateGrid	226	1518208658161	9	1	1	0	1	1	0	1	173	42	50	53	98	50	173	42	50	53	98	50
StateGrid	226	1518208658161	10	1	0	1	0	1	0	1	8	47	50	142	51	50	142	51	50	8	47	50
StateGrid	226	1518208658161	11	1	1	0	0	0	1	1	267	41	50	223	73	50	223	73	50	267	41	50
StateGrid	226	1518208658161	12	0	0	1	0	0	1	1	115	9	50	309	75	50	115	9	50	309	75	50
StateGrid	226	1518208658161	13	0	0	1	1	1	0	1	0	97	50	14	90	50	14	90	50	0	97	50
StateGrid	226	1518208658161	14	1	0	1	0	1	0	1	269	62	50	339	6	50	339	6	50	269	62	50
StateGrid	226	1518208658161	15	1	1	0	1	1	0	1	179	38	50	72	75	50	179	38	50	72	75	50
StateGrid	226	1518208658161	16	1	0	1	0	1	0	1	125	5	50	124	26	50	124	26	50	125	5	50
StateGrid	226	1518208658161	17	0	0	1	0	0	1	1	201	47	50	215	51	50	201	47	50	215	51	50
StateGrid	226	1518208658161	18	1	0	1	1	0	1	1	127	26	50	24	1	50	127	26	50	24	1	50
StateGrid	226	1518208658161	19	0	0	1	1	1	0	1	134	87	50	138	8	50	138	8	50	134	87	50
