type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	441	1518208658531	0	1	0	1	1	0	1	1	304	9	50	259	9	50	304	9	50	259	9	50
StateGrid	441	1518208658531	1	0	0	1	0	0	1	1	287	75	50	28	6	50	287	75	50	28	6	50
StateGrid	441	1518208658531	2	1	1	0	0	0	1	1	189	65	50	39	41	50	39	41	50	189	65	50
StateGrid	441	1518208658531	3	1	1	0	1	1	0	1	155	72	50	95	2	50	155	72	50	95	2	50
StateGrid	441	1518208658531	4	1	1	0	1	1	0	1	296	75	50	30	71	50	296	75	50	30	71	50
StateGrid	441	1518208658531	5	1	1	0	1	1	0	1	341	41	50	84	91	50	341	41	50	84	91	50
StateGrid	441	1518208658531	6	1	0	1	0	1	0	1	29	47	50	64	62	50	64	62	50	29	47	50
StateGrid	441	1518208658531	7	0	0	1	0	0	1	1	78	69	50	308	80	50	78	69	50	308	80	50
StateGrid	441	1518208658531	8	1	0	1	0	1	0	1	30	12	50	65	34	50	65	34	50	30	12	50
StateGrid	441	1518208658531	9	0	1	0	0	1	0	1	271	97	50	135	90	50	271	97	50	135	90	50
StateGrid	441	1518208658531	10	0	0	1	1	1	0	1	156	54	50	269	5	50	269	5	50	156	54	50
StateGrid	441	1518208658531	11	1	1	0	0	0	1	1	341	10	50	127	27	50	127	27	50	341	10	50
StateGrid	441	1518208658531	12	1	0	1	1	0	1	1	33	82	50	62	15	50	33	82	50	62	15	50
StateGrid	441	1518208658531	13	0	1	0	0	1	0	1	314	31	50	185	91	50	314	31	50	185	91	50
StateGrid	441	1518208658531	14	0	0	1	1	1	0	1	134	29	50	165	17	50	165	17	50	134	29	50
StateGrid	441	1518208658531	15	1	1	0	1	1	0	1	316	61	50	158	20	50	316	61	50	158	20	50
StateGrid	441	1518208658531	16	1	1	0	0	0	1	1	74	74	50	188	79	50	188	79	50	74	74	50
StateGrid	441	1518208658531	17	0	1	0	0	1	0	1	328	42	50	255	35	50	328	42	50	255	35	50
StateGrid	441	1518208658531	18	0	1	0	1	0	1	1	359	63	50	44	20	50	44	20	50	359	63	50
StateGrid	441	1518208658531	19	1	0	1	1	0	1	1	229	58	50	171	96	50	229	58	50	171	96	50
