type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	816	1518208659390	0	1	0	1	1	0	1	1	318	39	50	320	96	50	318	39	50	320	96	50
StateGrid	816	1518208659390	1	0	0	1	0	0	1	1	190	73	50	50	38	50	190	73	50	50	38	50
StateGrid	816	1518208659390	2	0	0	1	0	0	1	1	25	32	50	123	4	50	25	32	50	123	4	50
StateGrid	816	1518208659390	3	0	1	0	1	0	1	1	109	85	50	190	14	50	190	14	50	109	85	50
StateGrid	816	1518208659390	4	1	1	0	1	1	0	1	83	22	50	91	54	50	83	22	50	91	54	50
StateGrid	816	1518208659390	5	0	1	0	0	1	0	1	74	51	50	347	90	50	74	51	50	347	90	50
StateGrid	816	1518208659390	6	1	1	0	0	0	1	1	249	0	50	111	47	50	111	47	50	249	0	50
StateGrid	816	1518208659390	7	1	0	1	1	0	1	1	158	12	50	246	8	50	158	12	50	246	8	50
StateGrid	816	1518208659390	8	0	1	0	0	1	0	1	192	69	50	329	86	50	192	69	50	329	86	50
StateGrid	816	1518208659390	9	1	1	0	1	1	0	1	112	41	50	152	30	50	112	41	50	152	30	50
StateGrid	816	1518208659390	10	1	1	0	0	0	1	1	34	7	50	334	25	50	334	25	50	34	7	50
StateGrid	816	1518208659390	11	1	1	0	0	0	1	1	142	31	50	59	34	50	59	34	50	142	31	50
StateGrid	816	1518208659390	12	0	0	1	1	1	0	1	225	73	50	309	99	50	309	99	50	225	73	50
StateGrid	816	1518208659390	13	1	1	0	1	1	0	1	263	30	50	179	26	50	263	30	50	179	26	50
StateGrid	816	1518208659390	14	1	1	0	1	1	0	1	81	56	50	101	38	50	81	56	50	101	38	50
StateGrid	816	1518208659390	15	1	0	1	1	0	1	1	33	31	50	41	35	50	33	31	50	41	35	50
StateGrid	816	1518208659390	16	1	1	0	1	1	0	1	97	77	50	74	58	50	97	77	50	74	58	50
StateGrid	816	1518208659390	17	0	1	0	1	0	1	1	175	50	50	55	6	50	55	6	50	175	50	50
StateGrid	816	1518208659390	18	1	0	1	1	0	1	1	109	56	50	92	20	50	109	56	50	92	20	50
StateGrid	816	1518208659390	19	0	1	0	1	0	1	1	101	42	50	230	79	50	230	79	50	101	42	50
