type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	939	1518208659591	0	0	1	0	1	0	1	1	31	62	50	252	45	50	252	45	50	31	62	50
StateGrid	939	1518208659591	1	1	1	0	1	1	0	1	209	67	50	216	42	50	209	67	50	216	42	50
StateGrid	939	1518208659591	2	1	1	0	1	1	0	1	17	54	50	230	85	50	17	54	50	230	85	50
StateGrid	939	1518208659591	3	0	1	0	0	1	0	1	356	31	50	91	12	50	356	31	50	91	12	50
StateGrid	939	1518208659591	4	0	0	1	1	1	0	1	292	97	50	134	61	50	134	61	50	292	97	50
StateGrid	939	1518208659591	5	1	1	0	0	0	1	1	303	76	50	110	51	50	110	51	50	303	76	50
StateGrid	939	1518208659591	6	1	0	1	1	0	1	1	130	20	50	290	82	50	130	20	50	290	82	50
StateGrid	939	1518208659591	7	0	1	0	1	0	1	1	15	32	50	33	15	50	33	15	50	15	32	50
StateGrid	939	1518208659591	8	1	1	0	1	1	0	1	262	69	50	359	15	50	262	69	50	359	15	50
StateGrid	939	1518208659591	9	0	1	0	1	0	1	1	121	44	50	312	40	50	312	40	50	121	44	50
StateGrid	939	1518208659591	10	0	0	1	0	0	1	1	245	34	50	325	27	50	245	34	50	325	27	50
StateGrid	939	1518208659591	11	0	1	0	1	0	1	1	31	28	50	25	32	50	25	32	50	31	28	50
StateGrid	939	1518208659591	12	0	0	1	1	1	0	1	285	67	50	99	53	50	99	53	50	285	67	50
StateGrid	939	1518208659591	13	1	0	1	1	0	1	1	255	2	50	263	68	50	255	2	50	263	68	50
StateGrid	939	1518208659591	14	0	1	0	1	0	1	1	207	74	50	198	95	50	198	95	50	207	74	50
StateGrid	939	1518208659591	15	0	0	1	0	0	1	1	308	83	50	53	34	50	308	83	50	53	34	50
StateGrid	939	1518208659591	16	1	1	0	1	1	0	1	116	69	50	254	14	50	116	69	50	254	14	50
StateGrid	939	1518208659591	17	1	1	0	1	1	0	1	246	23	50	329	63	50	246	23	50	329	63	50
StateGrid	939	1518208659591	18	0	1	0	0	1	0	1	345	3	50	69	13	50	345	3	50	69	13	50
StateGrid	939	1518208659591	19	0	1	0	1	0	1	1	50	21	50	56	24	50	56	24	50	50	21	50
