type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	402	1518208658457	0	1	0	1	1	0	1	1	117	19	50	4	87	50	117	19	50	4	87	50
StateGrid	402	1518208658457	1	0	0	1	0	0	1	1	203	37	50	183	76	50	203	37	50	183	76	50
StateGrid	402	1518208658457	2	1	0	1	0	1	0	1	354	20	50	217	58	50	217	58	50	354	20	50
StateGrid	402	1518208658457	3	0	1	0	1	0	1	1	86	35	50	234	58	50	234	58	50	86	35	50
StateGrid	402	1518208658457	4	0	1	0	0	1	0	1	216	99	50	275	53	50	216	99	50	275	53	50
StateGrid	402	1518208658457	5	1	1	0	0	0	1	1	59	34	50	93	20	50	93	20	50	59	34	50
StateGrid	402	1518208658457	6	1	1	0	1	1	0	1	172	37	50	352	97	50	172	37	50	352	97	50
StateGrid	402	1518208658457	7	0	0	1	0	0	1	1	117	34	50	185	35	50	117	34	50	185	35	50
StateGrid	402	1518208658457	8	1	0	1	0	1	0	1	205	26	50	152	1	50	152	1	50	205	26	50
StateGrid	402	1518208658457	9	0	1	0	0	1	0	1	283	56	50	157	52	50	283	56	50	157	52	50
StateGrid	402	1518208658457	10	1	0	1	0	1	0	1	335	47	50	219	13	50	219	13	50	335	47	50
StateGrid	402	1518208658457	11	0	1	0	1	0	1	1	157	24	50	86	98	50	86	98	50	157	24	50
StateGrid	402	1518208658457	12	1	1	0	1	1	0	1	284	75	50	221	39	50	284	75	50	221	39	50
StateGrid	402	1518208658457	13	1	1	0	1	1	0	1	105	55	50	52	58	50	105	55	50	52	58	50
StateGrid	402	1518208658457	14	0	1	0	1	0	1	1	175	48	50	338	80	50	338	80	50	175	48	50
StateGrid	402	1518208658457	15	1	1	0	0	0	1	1	159	85	50	57	39	50	57	39	50	159	85	50
StateGrid	402	1518208658457	16	0	1	0	0	1	0	1	106	82	50	102	17	50	106	82	50	102	17	50
StateGrid	402	1518208658459	17	0	1	0	1	0	1	1	281	50	50	273	3	50	273	3	50	281	50	50
StateGrid	402	1518208658459	18	1	0	1	1	0	1	1	144	44	50	91	79	50	144	44	50	91	79	50
StateGrid	402	1518208658459	19	0	1	0	0	1	0	1	333	51	50	242	4	50	333	51	50	242	4	50
