type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	42	1518208657797	0	0	1	0	0	1	0	1	286	61	50	112	70	50	286	61	50	112	70	50
StateGrid	42	1518208657797	1	0	0	1	0	0	1	1	163	28	50	342	71	50	163	28	50	342	71	50
StateGrid	42	1518208657797	2	1	0	1	0	1	0	1	123	93	50	226	18	50	226	18	50	123	93	50
StateGrid	42	1518208657797	3	1	0	1	1	0	1	1	119	56	50	156	79	50	119	56	50	156	79	50
StateGrid	42	1518208657797	4	0	1	0	1	0	1	1	302	51	50	215	68	50	215	68	50	302	51	50
StateGrid	42	1518208657797	5	1	0	1	0	1	0	1	136	89	50	191	96	50	191	96	50	136	89	50
StateGrid	42	1518208657797	6	1	0	1	0	1	0	1	283	8	50	133	4	50	133	4	50	283	8	50
StateGrid	42	1518208657797	7	0	0	1	0	0	1	1	217	14	50	307	52	50	217	14	50	307	52	50
StateGrid	42	1518208657797	8	0	0	1	1	1	0	1	175	63	50	51	27	50	51	27	50	175	63	50
StateGrid	42	1518208657797	9	1	1	0	1	1	0	1	340	98	50	140	39	50	340	98	50	140	39	50
StateGrid	42	1518208657810	10	0	0	1	0	0	1	1	38	76	50	106	51	50	38	76	50	106	51	50
StateGrid	42	1518208657810	11	1	0	1	0	1	0	1	321	26	50	102	99	50	102	99	50	321	26	50
StateGrid	42	1518208657810	12	1	1	0	1	1	0	1	116	13	50	175	85	50	116	13	50	175	85	50
StateGrid	42	1518208657810	13	0	1	0	1	0	1	1	243	62	50	56	61	50	56	61	50	243	62	50
StateGrid	42	1518208657810	14	1	1	0	0	0	1	1	181	93	50	77	75	50	77	75	50	181	93	50
StateGrid	42	1518208657810	15	0	1	0	1	0	1	1	79	55	50	64	39	50	64	39	50	79	55	50
StateGrid	42	1518208657810	16	1	0	1	1	0	1	1	96	13	50	53	9	50	96	13	50	53	9	50
StateGrid	42	1518208657810	17	0	1	0	1	0	1	1	12	16	50	12	6	50	12	6	50	12	16	50
StateGrid	42	1518208657810	18	0	0	1	1	1	0	1	3	78	50	148	98	50	148	98	50	3	78	50
StateGrid	42	1518208657810	19	0	1	0	0	1	0	1	54	12	50	11	84	50	54	12	50	11	84	50
