type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	328	1518208658331	0	0	1	0	1	0	1	1	351	36	50	213	11	50	213	11	50	351	36	50
StateGrid	328	1518208658331	1	0	1	0	0	1	0	1	32	34	50	254	40	50	32	34	50	254	40	50
StateGrid	328	1518208658331	2	0	1	0	0	1	0	1	63	89	50	313	83	50	63	89	50	313	83	50
StateGrid	328	1518208658331	3	1	0	1	1	0	1	1	204	59	50	70	91	50	204	59	50	70	91	50
StateGrid	328	1518208658331	4	1	1	0	1	1	0	1	303	23	50	167	4	50	303	23	50	167	4	50
StateGrid	328	1518208658331	5	1	0	1	1	0	1	1	96	9	50	228	24	50	96	9	50	228	24	50
StateGrid	328	1518208658331	6	0	1	0	0	1	0	1	341	38	50	102	27	50	341	38	50	102	27	50
StateGrid	328	1518208658331	7	1	1	0	1	1	0	1	231	81	50	67	59	50	231	81	50	67	59	50
StateGrid	328	1518208658331	8	0	1	0	1	0	1	1	358	26	50	60	44	50	60	44	50	358	26	50
StateGrid	328	1518208658331	9	1	1	0	1	1	0	1	144	85	50	153	33	50	144	85	50	153	33	50
StateGrid	328	1518208658331	10	1	1	0	1	1	0	1	42	28	50	173	82	50	42	28	50	173	82	50
StateGrid	328	1518208658331	11	1	1	0	1	1	0	1	147	1	50	189	5	50	147	1	50	189	5	50
StateGrid	328	1518208658331	12	0	0	1	1	1	0	1	282	69	50	107	27	50	107	27	50	282	69	50
StateGrid	328	1518208658331	13	0	0	1	0	0	1	1	57	7	50	41	91	50	57	7	50	41	91	50
StateGrid	328	1518208658331	14	1	0	1	1	0	1	1	245	46	50	234	22	50	245	46	50	234	22	50
StateGrid	328	1518208658331	15	1	1	0	1	1	0	1	268	7	50	222	12	50	268	7	50	222	12	50
StateGrid	328	1518208658331	16	0	0	1	0	0	1	1	133	86	50	9	36	50	133	86	50	9	36	50
StateGrid	328	1518208658331	17	0	0	1	1	1	0	1	55	21	50	265	73	50	265	73	50	55	21	50
StateGrid	328	1518208658331	18	0	1	0	1	0	1	1	337	96	50	50	38	50	50	38	50	337	96	50
StateGrid	328	1518208658331	19	1	1	0	0	0	1	1	15	2	50	244	2	50	244	2	50	15	2	50
