type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	450	1518208658555	0	1	1	0	0	0	1	1	29	37	50	195	8	50	195	8	50	29	37	50
StateGrid	450	1518208658555	1	0	0	1	0	0	1	1	152	27	50	129	33	50	152	27	50	129	33	50
StateGrid	450	1518208658555	2	0	0	1	0	0	1	1	242	48	50	179	44	50	242	48	50	179	44	50
StateGrid	450	1518208658555	3	1	1	0	0	0	1	1	197	17	50	126	50	50	126	50	50	197	17	50
StateGrid	450	1518208658555	4	0	1	0	0	1	0	1	244	57	50	105	62	50	244	57	50	105	62	50
StateGrid	450	1518208658555	5	1	0	1	1	0	1	1	336	0	50	197	64	50	336	0	50	197	64	50
StateGrid	450	1518208658555	6	1	0	1	0	1	0	1	222	79	50	38	89	50	38	89	50	222	79	50
StateGrid	450	1518208658555	7	1	0	1	1	0	1	1	76	62	50	352	65	50	76	62	50	352	65	50
StateGrid	450	1518208658555	8	1	1	0	1	1	0	1	285	31	50	217	94	50	285	31	50	217	94	50
StateGrid	450	1518208658555	9	1	1	0	0	0	1	1	11	84	50	285	22	50	285	22	50	11	84	50
StateGrid	450	1518208658555	10	0	1	0	0	1	0	1	161	3	50	63	27	50	161	3	50	63	27	50
StateGrid	450	1518208658555	11	0	1	0	1	0	1	1	178	90	50	145	79	50	145	79	50	178	90	50
StateGrid	450	1518208658555	12	1	1	0	0	0	1	1	301	8	50	5	58	50	5	58	50	301	8	50
StateGrid	450	1518208658555	13	0	1	0	1	0	1	1	155	99	50	156	94	50	156	94	50	155	99	50
StateGrid	450	1518208658555	14	1	0	1	1	0	1	1	212	32	50	193	91	50	212	32	50	193	91	50
StateGrid	450	1518208658555	15	1	0	1	1	0	1	1	82	75	50	280	17	50	82	75	50	280	17	50
StateGrid	450	1518208658555	16	0	1	0	0	1	0	1	14	36	50	48	0	50	14	36	50	48	0	50
StateGrid	450	1518208658555	17	0	1	0	0	1	0	1	19	54	50	52	24	50	19	54	50	52	24	50
StateGrid	450	1518208658555	18	1	0	1	1	0	1	1	113	42	50	171	62	50	113	42	50	171	62	50
StateGrid	450	1518208658555	19	1	0	1	0	1	0	1	146	78	50	190	17	50	190	17	50	146	78	50
