type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	298	1518208658278	0	0	1	0	0	1	0	1	184	14	50	209	31	50	184	14	50	209	31	50
StateGrid	298	1518208658278	1	0	1	0	1	0	1	1	136	6	50	78	82	50	78	82	50	136	6	50
StateGrid	298	1518208658278	2	0	0	1	1	1	0	1	102	34	50	314	66	50	314	66	50	102	34	50
StateGrid	298	1518208658278	3	1	0	1	1	0	1	1	181	7	50	354	93	50	181	7	50	354	93	50
StateGrid	298	1518208658278	4	0	0	1	1	1	0	1	165	58	50	199	94	50	199	94	50	165	58	50
StateGrid	298	1518208658278	5	1	0	1	0	1	0	1	75	43	50	292	80	50	292	80	50	75	43	50
StateGrid	298	1518208658278	6	1	1	0	0	0	1	1	237	96	50	322	13	50	322	13	50	237	96	50
StateGrid	298	1518208658278	7	1	0	1	1	0	1	1	267	82	50	348	33	50	267	82	50	348	33	50
StateGrid	298	1518208658278	8	1	1	0	0	0	1	1	333	29	50	52	39	50	52	39	50	333	29	50
StateGrid	298	1518208658278	9	1	1	0	1	1	0	1	155	54	50	314	32	50	155	54	50	314	32	50
StateGrid	298	1518208658278	10	1	0	1	0	1	0	1	157	39	50	218	99	50	218	99	50	157	39	50
StateGrid	298	1518208658278	11	1	0	1	0	1	0	1	132	88	50	312	65	50	312	65	50	132	88	50
StateGrid	298	1518208658278	12	1	1	0	0	0	1	1	280	68	50	259	32	50	259	32	50	280	68	50
StateGrid	298	1518208658278	13	0	0	1	0	0	1	1	115	3	50	321	59	50	115	3	50	321	59	50
StateGrid	298	1518208658278	14	1	0	1	1	0	1	1	140	59	50	78	15	50	140	59	50	78	15	50
StateGrid	298	1518208658278	15	1	0	1	0	1	0	1	102	60	50	223	58	50	223	58	50	102	60	50
StateGrid	298	1518208658278	16	0	1	0	1	0	1	1	140	56	50	94	31	50	94	31	50	140	56	50
StateGrid	298	1518208658278	17	0	0	1	0	0	1	1	348	71	50	107	96	50	348	71	50	107	96	50
StateGrid	298	1518208658278	18	0	1	0	1	0	1	1	356	48	50	255	97	50	255	97	50	356	48	50
StateGrid	298	1518208658278	19	1	0	1	1	0	1	1	51	71	50	61	21	50	51	71	50	61	21	50
