type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	943	1518208659595	0	0	1	0	0	1	0	1	4	36	50	250	40	50	4	36	50	250	40	50
StateGrid	943	1518208659595	1	0	0	1	0	0	1	1	327	72	50	51	67	50	327	72	50	51	67	50
StateGrid	943	1518208659595	2	0	1	0	0	1	0	1	128	2	50	218	34	50	128	2	50	218	34	50
StateGrid	943	1518208659595	3	0	1	0	0	1	0	1	55	8	50	243	8	50	55	8	50	243	8	50
StateGrid	943	1518208659595	4	1	0	1	1	0	1	1	217	29	50	178	24	50	217	29	50	178	24	50
StateGrid	943	1518208659595	5	1	1	0	0	0	1	1	174	24	50	233	34	50	233	34	50	174	24	50
StateGrid	943	1518208659595	6	0	1	0	0	1	0	1	108	86	50	246	41	50	108	86	50	246	41	50
StateGrid	943	1518208659595	7	1	0	1	0	1	0	1	275	89	50	259	63	50	259	63	50	275	89	50
StateGrid	943	1518208659595	8	1	0	1	0	1	0	1	31	92	50	320	83	50	320	83	50	31	92	50
StateGrid	943	1518208659595	9	0	0	1	0	0	1	1	67	8	50	182	77	50	67	8	50	182	77	50
StateGrid	943	1518208659595	10	0	0	1	0	0	1	1	278	78	50	291	20	50	278	78	50	291	20	50
StateGrid	943	1518208659595	11	1	1	0	1	1	0	1	333	7	50	355	91	50	333	7	50	355	91	50
StateGrid	943	1518208659595	12	1	0	1	1	0	1	1	208	71	50	138	35	50	208	71	50	138	35	50
StateGrid	943	1518208659595	13	0	0	1	0	0	1	1	239	69	50	258	52	50	239	69	50	258	52	50
StateGrid	943	1518208659595	14	1	0	1	1	0	1	1	303	58	50	4	93	50	303	58	50	4	93	50
StateGrid	943	1518208659595	15	1	1	0	0	0	1	1	88	2	50	305	49	50	305	49	50	88	2	50
StateGrid	943	1518208659595	16	1	0	1	1	0	1	1	122	33	50	247	25	50	122	33	50	247	25	50
StateGrid	943	1518208659595	17	0	1	0	1	0	1	1	336	61	50	145	17	50	145	17	50	336	61	50
StateGrid	943	1518208659595	18	0	0	1	1	1	0	1	55	68	50	260	28	50	260	28	50	55	68	50
StateGrid	943	1518208659595	19	1	1	0	0	0	1	1	6	12	50	204	80	50	204	80	50	6	12	50
