type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	181	1518208658105	0	0	0	1	0	0	1	1	153	35	50	66	22	50	153	35	50	66	22	50
StateGrid	181	1518208658105	1	0	0	1	1	1	0	1	65	56	50	221	46	50	221	46	50	65	56	50
StateGrid	181	1518208658105	2	1	0	1	0	1	0	1	98	84	50	72	90	50	72	90	50	98	84	50
StateGrid	181	1518208658105	3	1	0	1	0	1	0	1	103	53	50	305	63	50	305	63	50	103	53	50
StateGrid	181	1518208658105	4	1	0	1	1	0	1	1	63	46	50	30	84	50	63	46	50	30	84	50
StateGrid	181	1518208658105	5	1	1	0	1	1	0	1	73	12	50	88	75	50	73	12	50	88	75	50
StateGrid	181	1518208658105	6	1	0	1	0	1	0	1	178	21	50	211	85	50	211	85	50	178	21	50
StateGrid	181	1518208658105	7	1	0	1	0	1	0	1	277	68	50	111	31	50	111	31	50	277	68	50
StateGrid	181	1518208658105	8	0	0	1	0	0	1	1	135	91	50	317	4	50	135	91	50	317	4	50
StateGrid	181	1518208658105	9	1	1	0	1	1	0	1	14	35	50	189	81	50	14	35	50	189	81	50
StateGrid	181	1518208658105	10	1	0	1	1	0	1	1	29	77	50	4	33	50	29	77	50	4	33	50
StateGrid	181	1518208658105	11	0	0	1	1	1	0	1	276	69	50	197	73	50	197	73	50	276	69	50
StateGrid	181	1518208658105	12	1	0	1	1	0	1	1	120	10	50	293	76	50	120	10	50	293	76	50
StateGrid	181	1518208658105	13	0	0	1	0	0	1	1	303	14	50	9	57	50	303	14	50	9	57	50
StateGrid	181	1518208658105	14	1	0	1	1	0	1	1	8	71	50	112	83	50	8	71	50	112	83	50
StateGrid	181	1518208658105	15	0	0	1	1	1	0	1	146	36	50	93	37	50	93	37	50	146	36	50
StateGrid	181	1518208658106	16	0	1	0	0	1	0	1	61	77	50	30	79	50	61	77	50	30	79	50
StateGrid	181	1518208658106	17	1	0	1	0	1	0	1	288	26	50	271	29	50	271	29	50	288	26	50
StateGrid	181	1518208658106	18	1	1	0	0	0	1	1	136	24	50	55	67	50	55	67	50	136	24	50
StateGrid	181	1518208658106	19	1	0	1	1	0	1	1	182	67	50	314	15	50	182	67	50	314	15	50
