type	gameid	time	roundNum	sTarget	sOIndex0	sOIndex1	lTarget	lOIndex0	lOIndex1	diffs	sObj0_Shp0_ClrH	sObj0_Shp0_ClrS	sObj0_Shp0_ClrL	sObj1_Shp0_ClrH	sObj1_Shp0_ClrS	sObj1_Shp0_ClrL	lObj0_Shp0_ClrH	lObj0_Shp0_ClrS	lObj0_Shp0_ClrL	lObj1_Shp0_ClrH	lObj1_Shp0_ClrS	lObj1_Shp0_ClrL
StateGrid	821	1518208659396	0	1	1	0	0	0	1	1	6	56	50	235	10	50	235	10	50	6	56	50
StateGrid	821	1518208659396	1	1	0	1	0	1	0	1	169	9	50	121	63	50	121	63	50	169	9	50
StateGrid	821	1518208659396	2	1	1	0	0	0	1	1	183	12	50	2	41	50	2	41	50	183	12	50
StateGrid	821	1518208659396	3	0	1	0	0	1	0	1	209	30	50	193	98	50	209	30	50	193	98	50
StateGrid	821	1518208659396	4	0	1	0	1	0	1	1	357	80	50	217	36	50	217	36	50	357	80	50
StateGrid	821	1518208659397	5	1	0	1	0	1	0	1	269	56	50	326	11	50	326	11	50	269	56	50
StateGrid	821	1518208659397	6	0	1	0	0	1	0	1	251	20	50	322	61	50	251	20	50	322	61	50
StateGrid	821	1518208659397	7	1	1	0	1	1	0	1	46	75	50	222	79	50	46	75	50	222	79	50
StateGrid	821	1518208659397	8	1	0	1	1	0	1	1	305	4	50	245	41	50	305	4	50	245	41	50
StateGrid	821	1518208659397	9	0	1	0	1	0	1	1	9	73	50	351	87	50	351	87	50	9	73	50
StateGrid	821	1518208659397	10	1	0	1	0	1	0	1	51	62	50	66	58	50	66	58	50	51	62	50
StateGrid	821	1518208659397	11	1	0	1	1	0	1	1	47	25	50	218	78	50	47	25	50	218	78	50
StateGrid	821	1518208659397	12	1	1	0	0	0	1	1	172	84	50	116	45	50	116	45	50	172	84	50
StateGrid	821	1518208659397	13	1	1	0	1	1	0	1	241	67	50	209	72	50	241	67	50	209	72	50
StateGrid	821	1518208659397	14	1	1	0	1	1	0	1	29	89	50	224	42	50	29	89	50	224	42	50
StateGrid	821	1518208659397	15	1	0	1	0	1	0	1	158	16	50	144	16	50	144	16	50	158	16	50
StateGrid	821	1518208659397	16	1	1	0	1	1	0	1	238	75	50	82	65	50	238	75	50	82	65	50
StateGrid	821	1518208659397	17	1	1	0	0	0	1	1	161	40	50	53	41	50	53	41	50	161	40	50
StateGrid	821	1518208659397	18	0	0	1	1	1	0	1	92	68	50	170	10	50	170	10	50	92	68	50
StateGrid	821	1518208659397	19	0	1	0	1	0	1	1	197	52	50	206	53	50	206	53	50	197	52	50
